Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Gwent,Other equipment,Baton used,10.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,15.0,Other equipment,Baton: used
Gwent,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Gwent,Other equipment,"Irritant spray, of which",239.0,11.0,5.0,0.0,6.0,1.0,5.0,0.0,267.0,Other equipment,Total: Irritant spray
Gwent,Other equipment,Irritant spray - drawn,110.0,3.0,3.0,0.0,2.0,0.0,3.0,0.0,121.0,Other equipment,Irritant spray: drawn
Gwent,Other equipment,Irritant spray - used,129.0,8.0,2.0,0.0,4.0,1.0,2.0,0.0,146.0,Other equipment,Irritant spray: used
Gwent,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Gwent,Other equipment,Spit and bite guard,107.0,6.0,0.0,0.0,4.0,0.0,4.0,0.0,121.0,Other equipment,Spit and bite guard
Gwent,Other equipment,Shield,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,Other equipment,Shield
Gwent,Less lethal weapons,*Total Less lethal weapons,154.0,3.0,9.0,1.0,5.0,2.0,4.0,0.0,178.0,Less lethal weapons,Total: Less lethal weapons
Gwent,Less lethal weapons,CED,147.0,3.0,9.0,1.0,5.0,2.0,4.0,0.0,171.0,Less lethal weapons,CED
Gwent,Less lethal weapons,"AEP, of which",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Less lethal weapons,Total: AEP
Gwent,Less lethal weapons,AEP aimed,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Less lethal weapons,AEP: Aimed
Gwent,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Gwent,Less lethal weapons,Not stated AEP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Less lethal weapons,AEP: Not stated
Gwent,Firearms,*Total Firearms,23.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,Firearms,Total: Firearms
Gwent,Other,*Total Other,162.0,3.0,3.0,0.0,2.0,1.0,6.0,0.0,177.0,Other,Total: Other
Gwent,Other,"Dog use, of which",24.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,29.0,Other,Total: Dog
Gwent,Other,Dog deployed,22.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,27.0,Other,Dog: deployed
Gwent,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Other,Dog: bite
Gwent,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Gwent,Other,Other / improvised,138.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,148.0,Other,Other / improvised
Gwent,Not reported,*Total Not reported,354.0,8.0,18.0,0.0,8.0,1.0,6.0,0.0,395.0,Not reported,Total: Not reported
Gwent,Tactical communication,Tactical communication,1576.0,52.0,43.0,1.0,36.0,16.0,39.0,0.0,1763.0,Excluded: Tactical Communication,Tactical Communication
Hampshire,Total (excluding not reported and tactical communication),*Total Tactics,7034.0,524.0,114.0,5.0,139.0,39.0,673.0,0.0,8528.0,Total,Total: all
Hampshire,Restraint,*Total Restraint,4376.0,305.0,70.0,4.0,78.0,21.0,384.0,0.0,5238.0,Restraint,Total: Restraint
Hampshire,Restraint,"Handcuffing, of which",2373.0,154.0,47.0,3.0,46.0,9.0,199.0,0.0,2831.0,Restraint,Total: Handcuffing
Hampshire,Restraint,Compliant handcuffing,682.0,39.0,15.0,2.0,14.0,3.0,2.0,0.0,757.0,Restraint,Handcuffing: compliant
Hampshire,Restraint,Non-compliant handcuffing,1691.0,115.0,32.0,1.0,32.0,6.0,197.0,0.0,2074.0,Restraint,Handcuffing: non-compliant
Hampshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Hampshire,Restraint,Limb / Body restraints,596.0,49.0,9.0,1.0,4.0,2.0,60.0,0.0,721.0,Restraint,Limb / body restraints
Hampshire,Restraint,Ground restraint,1407.0,102.0,14.0,0.0,28.0,10.0,125.0,0.0,1686.0,Restraint,Ground restraint
Hampshire,Unarmed skills,*Total Unarmed skills,1951.0,150.0,30.0,1.0,38.0,12.0,205.0,0.0,2387.0,Unarmed skills,Total: unarmed skills
Hampshire,Other equipment,*Total Other equipment,312.0,38.0,5.0,0.0,14.0,4.0,32.0,0.0,405.0,Other equipment,Total: Other equipment
Hampshire,Other equipment,"Baton, of which",55.0,10.0,1.0,0.0,3.0,2.0,2.0,0.0,73.0,Other equipment,Total: Baton
Hampshire,Other equipment,Baton drawn,48.0,10.0,1.0,0.0,0.0,1.0,2.0,0.0,62.0,Other equipment,Baton: drawn
Hampshire,Other equipment,Baton used,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,11.0,Other equipment,Baton: used
Hampshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Hampshire,Other equipment,"Irritant spray, of which",143.0,25.0,4.0,0.0,6.0,1.0,16.0,0.0,195.0,Other equipment,Total: Irritant spray
Hampshire,Other equipment,Irritant spray - drawn,108.0,14.0,4.0,0.0,4.0,1.0,16.0,0.0,147.0,Other equipment,Irritant spray: drawn
Hampshire,Other equipment,Irritant spray - used,35.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,Other equipment,Irritant spray: used
Hampshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Hampshire,Other equipment,Spit and bite guard,90.0,3.0,0.0,0.0,5.0,1.0,7.0,0.0,106.0,Other equipment,Spit and bite guard
Hampshire,Other equipment,Shield,24.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,31.0,Other equipment,Shield
Hampshire,Less lethal weapons,*Total Less lethal weapons,177.0,12.0,4.0,0.0,3.0,0.0,14.0,0.0,210.0,Less lethal weapons,Total: Less lethal weapons
Hampshire,Less lethal weapons,CED,176.0,12.0,4.0,0.0,3.0,0.0,14.0,0.0,209.0,Less lethal weapons,CED
Hampshire,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Less lethal weapons,Total: AEP
Hampshire,Less lethal weapons,AEP aimed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Less lethal weapons,AEP: Aimed
Hampshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Hampshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Hampshire,Firearms,*Total Firearms,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,Firearms,Total: Firearms
Hampshire,Other,*Total Other,216.0,18.0,5.0,0.0,5.0,1.0,38.0,0.0,283.0,Other,Total: Other
Hampshire,Other,"Dog use, of which",18.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,24.0,Other,Total: Dog
Hampshire,Other,Dog deployed,15.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,21.0,Other,Dog: deployed
Hampshire,Other,Dog bite,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Other,Dog: bite
Hampshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Hampshire,Other,Other / improvised,198.0,17.0,5.0,0.0,4.0,1.0,34.0,0.0,259.0,Other,Other / improvised
Hampshire,Not reported,*Total Not reported,2.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,70.0,Not reported,Total: Not reported
Hampshire,Tactical communication,Tactical communication,2953.0,210.0,57.0,3.0,58.0,13.0,247.0,0.0,3541.0,Excluded: Tactical Communication,Tactical Communication
Hertfordshire,Total (excluding not reported and tactical communication),*Total Tactics,11461.0,1962.0,743.0,8.0,534.0,495.0,214.0,93.0,15510.0,Total,Total: all
Hertfordshire,Restraint,*Total Restraint,6717.0,1126.0,481.0,5.0,306.0,344.0,120.0,47.0,9146.0,Restraint,Total: Restraint
Hertfordshire,Restraint,"Handcuffing, of which",5076.0,873.0,396.0,5.0,229.0,305.0,97.0,34.0,7015.0,Restraint,Total: Handcuffing
Hertfordshire,Restraint,Compliant handcuffing,3124.0,563.0,280.0,5.0,127.0,228.0,66.0,24.0,4417.0,Restraint,Handcuffing: compliant
Hertfordshire,Restraint,Non-compliant handcuffing,1952.0,310.0,116.0,0.0,102.0,77.0,31.0,10.0,2598.0,Restraint,Handcuffing: non-compliant
Hertfordshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Hertfordshire,Restraint,Limb / Body restraints,595.0,82.0,31.0,0.0,23.0,12.0,5.0,6.0,754.0,Restraint,Limb / body restraints
Hertfordshire,Restraint,Ground restraint,1046.0,171.0,54.0,0.0,54.0,27.0,18.0,7.0,1377.0,Restraint,Ground restraint
Hertfordshire,Unarmed skills,*Total Unarmed skills,3399.0,517.0,190.0,3.0,163.0,120.0,53.0,30.0,4475.0,Unarmed skills,Total: unarmed skills
Hertfordshire,Other equipment,*Total Other equipment,851.0,196.0,35.0,0.0,32.0,21.0,24.0,10.0,1169.0,Other equipment,Total: Other equipment
Hertfordshire,Other equipment,"Baton, of which",104.0,41.0,5.0,0.0,6.0,2.0,8.0,6.0,172.0,Other equipment,Total: Baton
Hertfordshire,Other equipment,Baton drawn,69.0,24.0,4.0,0.0,5.0,1.0,6.0,5.0,114.0,Other equipment,Baton: drawn
Hertfordshire,Other equipment,Baton used,34.0,17.0,1.0,0.0,1.0,1.0,2.0,1.0,57.0,Other equipment,Baton: used
Hertfordshire,Other equipment,Not stated baton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other equipment,Baton: not stated
Hertfordshire,Other equipment,"Irritant spray, of which",593.0,142.0,23.0,0.0,25.0,13.0,12.0,4.0,812.0,Other equipment,Total: Irritant spray
Hertfordshire,Other equipment,Irritant spray - drawn,327.0,82.0,14.0,0.0,14.0,7.0,7.0,2.0,453.0,Other equipment,Irritant spray: drawn
Hertfordshire,Other equipment,Irritant spray - used,257.0,59.0,9.0,0.0,11.0,6.0,5.0,1.0,348.0,Other equipment,Irritant spray: used
Hertfordshire,Other equipment,Not stated irritant spray,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,Other equipment,Irritant spray: not stated
Hertfordshire,Other equipment,Spit and bite guard,127.0,9.0,5.0,0.0,1.0,6.0,3.0,0.0,151.0,Other equipment,Spit and bite guard
Hertfordshire,Other equipment,Shield,27.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,34.0,Other equipment,Shield
Hertfordshire,Less lethal weapons,*Total Less lethal weapons,192.0,59.0,21.0,0.0,18.0,4.0,5.0,3.0,302.0,Less lethal weapons,Total: Less lethal weapons
Hertfordshire,Less lethal weapons,CED,190.0,58.0,20.0,0.0,18.0,4.0,4.0,3.0,297.0,Less lethal weapons,CED
Hertfordshire,Less lethal weapons,"AEP, of which",2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,Less lethal weapons,Total: AEP
Hertfordshire,Less lethal weapons,AEP aimed,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,Less lethal weapons,AEP: Aimed
Hertfordshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Hertfordshire,Less lethal weapons,Not stated AEP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Less lethal weapons,AEP: Not stated
Hertfordshire,Firearms,*Total Firearms,4.0,10.0,2.0,0.0,1.0,0.0,1.0,0.0,18.0,Firearms,Total: Firearms
Hertfordshire,Other,*Total Other,298.0,54.0,14.0,0.0,14.0,6.0,11.0,3.0,400.0,Other,Total: Other
Hertfordshire,Other,"Dog use, of which",4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,Other,Total: Dog
Hertfordshire,Other,Dog deployed,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,Other,Dog: deployed
Hertfordshire,Other,Dog bite,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,Other,Dog: bite
Hertfordshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Hertfordshire,Other,Other / improvised,294.0,53.0,10.0,0.0,14.0,6.0,11.0,3.0,391.0,Other,Other / improvised
Hertfordshire,Not reported,*Total Not reported,37.0,8.0,2.0,0.0,2.0,2.0,3.0,0.0,54.0,Not reported,Total: Not reported
Hertfordshire,Tactical communication,Tactical communication,6141.0,1057.0,428.0,6.0,279.0,291.0,127.0,57.0,8386.0,Excluded: Tactical Communication,Tactical Communication
Humberside,Total (excluding not reported and tactical communication),*Total Tactics,7152.0,151.0,82.0,3.0,41.0,37.0,37.0,0.0,7503.0,Total,Total: all
Humberside,Restraint,*Total Restraint,3693.0,81.0,38.0,1.0,21.0,27.0,13.0,0.0,3874.0,Restraint,Total: Restraint
Humberside,Restraint,"Handcuffing, of which",2841.0,68.0,34.0,1.0,18.0,25.0,8.0,0.0,2995.0,Restraint,Total: Handcuffing
Humberside,Restraint,Compliant handcuffing,1650.0,50.0,23.0,1.0,12.0,21.0,5.0,0.0,1762.0,Restraint,Handcuffing: compliant
Humberside,Restraint,Non-compliant handcuffing,1191.0,18.0,11.0,0.0,6.0,4.0,3.0,0.0,1233.0,Restraint,Handcuffing: non-compliant
Humberside,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Humberside,Restraint,Limb / Body restraints,236.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,241.0,Restraint,Limb / body restraints
Humberside,Restraint,Ground restraint,616.0,10.0,4.0,0.0,3.0,2.0,3.0,0.0,638.0,Restraint,Ground restraint
Humberside,Unarmed skills,*Total Unarmed skills,2105.0,32.0,24.0,0.0,10.0,4.0,9.0,0.0,2184.0,Unarmed skills,Total: unarmed skills
Humberside,Other equipment,*Total Other equipment,346.0,8.0,2.0,0.0,0.0,0.0,5.0,0.0,361.0,Other equipment,Total: Other equipment
Humberside,Other equipment,"Baton, of which",60.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,63.0,Other equipment,Total: Baton
Humberside,Other equipment,Baton drawn,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,Other equipment,Baton: drawn
Humberside,Other equipment,Baton used,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,Other equipment,Baton: used
Humberside,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Humberside,Other equipment,"Irritant spray, of which",190.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,199.0,Other equipment,Total: Irritant spray
Humberside,Other equipment,Irritant spray - drawn,88.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0,Other equipment,Irritant spray: drawn
Humberside,Other equipment,Irritant spray - used,102.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,107.0,Other equipment,Irritant spray: used
Humberside,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Humberside,Other equipment,Spit and bite guard,75.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,78.0,Other equipment,Spit and bite guard
Humberside,Other equipment,Shield,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Other equipment,Shield
Humberside,Less lethal weapons,*Total Less lethal weapons,599.0,15.0,13.0,2.0,6.0,3.0,6.0,0.0,644.0,Less lethal weapons,Total: Less lethal weapons
Humberside,Less lethal weapons,CED,538.0,11.0,10.0,1.0,6.0,2.0,4.0,0.0,572.0,Less lethal weapons,CED
Humberside,Less lethal weapons,"AEP, of which",61.0,4.0,3.0,1.0,0.0,1.0,2.0,0.0,72.0,Less lethal weapons,Total: AEP
Humberside,Less lethal weapons,AEP aimed,57.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,66.0,Less lethal weapons,AEP: Aimed
Humberside,Less lethal weapons,AEP fired,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,Less lethal weapons,AEP: Fired
Humberside,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Humberside,Firearms,*Total Firearms,68.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,82.0,Firearms,Total: Firearms
Humberside,Other,*Total Other,341.0,4.0,4.0,0.0,3.0,2.0,4.0,0.0,358.0,Other,Total: Other
Humberside,Other,"Dog use, of which",26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,Other,Total: Dog
Humberside,Other,Dog deployed,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,Other,Dog: deployed
Humberside,Other,Dog bite,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Other,Dog: bite
Humberside,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Humberside,Other,Other / improvised,315.0,3.0,3.0,0.0,3.0,2.0,4.0,0.0,330.0,Other,Other / improvised
Humberside,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Humberside,Tactical communication,Tactical communication,2833.0,56.0,30.0,1.0,14.0,19.0,15.0,0.0,2968.0,Excluded: Tactical Communication,Tactical Communication
Kent,Total (excluding not reported and tactical communication),*Total Tactics,15057.0,1248.0,496.0,6.0,324.0,240.0,163.0,0.0,17534.0,Total,Total: all
Kent,Restraint,*Total Restraint,10273.0,814.0,364.0,4.0,209.0,179.0,99.0,0.0,11942.0,Restraint,Total: Restraint
Kent,Restraint,"Handcuffing, of which",7488.0,633.0,299.0,4.0,158.0,143.0,67.0,0.0,8792.0,Restraint,Total: Handcuffing
Kent,Restraint,Compliant handcuffing,4320.0,406.0,210.0,3.0,97.0,103.0,35.0,0.0,5174.0,Restraint,Handcuffing: compliant
Kent,Restraint,Non-compliant handcuffing,3168.0,227.0,89.0,1.0,61.0,40.0,32.0,0.0,3618.0,Restraint,Handcuffing: non-compliant
Kent,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Kent,Restraint,Limb / Body restraints,1133.0,67.0,33.0,0.0,21.0,11.0,10.0,0.0,1275.0,Restraint,Limb / body restraints
Kent,Restraint,Ground restraint,1652.0,114.0,32.0,0.0,30.0,25.0,22.0,0.0,1875.0,Restraint,Ground restraint
Kent,Unarmed skills,*Total Unarmed skills,2723.0,204.0,68.0,0.0,63.0,35.0,32.0,0.0,3125.0,Unarmed skills,Total: unarmed skills
Kent,Other equipment,*Total Other equipment,704.0,84.0,26.0,1.0,19.0,11.0,13.0,0.0,858.0,Other equipment,Total: Other equipment
Kent,Other equipment,"Baton, of which",104.0,22.0,10.0,0.0,2.0,1.0,3.0,0.0,142.0,Other equipment,Total: Baton
Kent,Other equipment,Baton drawn,72.0,16.0,7.0,0.0,2.0,1.0,2.0,0.0,100.0,Other equipment,Baton: drawn
Kent,Other equipment,Baton used,32.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,42.0,Other equipment,Baton: used
Kent,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Kent,Other equipment,"Irritant spray, of which",408.0,43.0,15.0,1.0,7.0,8.0,7.0,0.0,489.0,Other equipment,Total: Irritant spray
Kent,Other equipment,Irritant spray - drawn,206.0,22.0,8.0,1.0,5.0,6.0,5.0,0.0,253.0,Other equipment,Irritant spray: drawn
Kent,Other equipment,Irritant spray - used,202.0,21.0,7.0,0.0,2.0,2.0,2.0,0.0,236.0,Other equipment,Irritant spray: used
Kent,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Kent,Other equipment,Spit and bite guard,173.0,16.0,0.0,0.0,5.0,2.0,3.0,0.0,199.0,Other equipment,Spit and bite guard
Kent,Other equipment,Shield,19.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,28.0,Other equipment,Shield
Kent,Less lethal weapons,*Total Less lethal weapons,538.0,66.0,16.0,0.0,11.0,4.0,6.0,0.0,641.0,Less lethal weapons,Total: Less lethal weapons
Kent,Less lethal weapons,CED,495.0,63.0,9.0,0.0,11.0,4.0,6.0,0.0,588.0,Less lethal weapons,CED
Kent,Less lethal weapons,"AEP, of which",43.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,53.0,Less lethal weapons,Total: AEP
Kent,Less lethal weapons,AEP aimed,38.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,48.0,Less lethal weapons,AEP: Aimed
Kent,Less lethal weapons,AEP fired,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Less lethal weapons,AEP: Fired
Kent,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Kent,Firearms,*Total Firearms,120.0,20.0,5.0,0.0,2.0,2.0,3.0,0.0,152.0,Firearms,Total: Firearms
Kent,Other,*Total Other,699.0,60.0,17.0,1.0,20.0,9.0,10.0,0.0,816.0,Other,Total: Other
Kent,Other,"Dog use, of which",24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,Other,Total: Dog
Kent,Other,Dog deployed,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Other,Dog: deployed
Kent,Other,Dog bite,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,Other,Dog: bite
Kent,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Kent,Other,Other / improvised,675.0,59.0,17.0,1.0,19.0,9.0,10.0,0.0,790.0,Other,Other / improvised
Kent,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Kent,Tactical communication,Tactical communication,3876.0,296.0,124.0,1.0,84.0,57.0,42.0,0.0,4480.0,Excluded: Tactical Communication,Tactical Communication
Lancashire,Total (excluding not reported and tactical communication),*Total Tactics,10062.0,228.0,559.0,7.0,122.0,46.0,25.0,8.0,11057.0,Total,Total: all
Lancashire,Restraint,*Total Restraint,4629.0,113.0,299.0,6.0,58.0,30.0,8.0,1.0,5144.0,Restraint,Total: Restraint
Lancashire,Restraint,"Handcuffing, of which",3836.0,92.0,263.0,6.0,46.0,25.0,8.0,0.0,4276.0,Restraint,Total: Handcuffing
Lancashire,Restraint,Compliant handcuffing,1560.0,49.0,157.0,4.0,25.0,16.0,6.0,0.0,1817.0,Restraint,Handcuffing: compliant
Lancashire,Restraint,Non-compliant handcuffing,2276.0,43.0,106.0,2.0,21.0,9.0,2.0,0.0,2459.0,Restraint,Handcuffing: non-compliant
Lancashire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Lancashire,Restraint,Limb / Body restraints,243.0,7.0,5.0,0.0,3.0,2.0,0.0,0.0,260.0,Restraint,Limb / body restraints
Lancashire,Restraint,Ground restraint,550.0,14.0,31.0,0.0,9.0,3.0,0.0,1.0,608.0,Restraint,Ground restraint
Lancashire,Unarmed skills,*Total Unarmed skills,3515.0,72.0,176.0,1.0,37.0,9.0,10.0,1.0,3821.0,Unarmed skills,Total: unarmed skills
Lancashire,Other equipment,*Total Other equipment,1009.0,23.0,51.0,0.0,18.0,3.0,5.0,0.0,1109.0,Other equipment,Total: Other equipment
Lancashire,Other equipment,"Baton, of which",122.0,1.0,14.0,0.0,2.0,0.0,0.0,0.0,139.0,Other equipment,Total: Baton
Lancashire,Other equipment,Baton drawn,62.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,71.0,Other equipment,Baton: drawn
Lancashire,Other equipment,Baton used,60.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,68.0,Other equipment,Baton: used
Lancashire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Lancashire,Other equipment,"Irritant spray, of which",835.0,20.0,34.0,0.0,16.0,3.0,5.0,0.0,913.0,Other equipment,Total: Irritant spray
Lancashire,Other equipment,Irritant spray - drawn,277.0,5.0,8.0,0.0,8.0,2.0,3.0,0.0,303.0,Other equipment,Irritant spray: drawn
Lancashire,Other equipment,Irritant spray - used,558.0,15.0,26.0,0.0,8.0,1.0,2.0,0.0,610.0,Other equipment,Irritant spray: used
Lancashire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Lancashire,Other equipment,Spit and bite guard,44.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,49.0,Other equipment,Spit and bite guard
Lancashire,Other equipment,Shield,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Other equipment,Shield
Lancashire,Less lethal weapons,*Total Less lethal weapons,388.0,12.0,20.0,0.0,5.0,2.0,1.0,2.0,430.0,Less lethal weapons,Total: Less lethal weapons
Lancashire,Less lethal weapons,CED,386.0,12.0,20.0,0.0,5.0,2.0,1.0,2.0,428.0,Less lethal weapons,CED
Lancashire,Less lethal weapons,"AEP, of which",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Less lethal weapons,Total: AEP
Lancashire,Less lethal weapons,AEP aimed,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Less lethal weapons,AEP: Aimed
Lancashire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Lancashire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Lancashire,Firearms,*Total Firearms,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Firearms,Total: Firearms
Lancashire,Other,*Total Other,518.0,8.0,13.0,0.0,4.0,2.0,1.0,4.0,550.0,Other,Total: Other
Lancashire,Other,"Dog use, of which",42.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,46.0,Other,Total: Dog
Lancashire,Other,Dog deployed,29.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,32.0,Other,Dog: deployed
Lancashire,Other,Dog bite,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,Other,Dog: bite
Lancashire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Lancashire,Other,Other / improvised,476.0,8.0,11.0,0.0,2.0,2.0,1.0,4.0,504.0,Other,Other / improvised
Lancashire,Not reported,*Total Not reported,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,Not reported,Total: Not reported
