Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported
Staffordshire,Other equipment,Irritant spray - used,184.0,5.0,10.0,0.0,3.0,1.0,1.0,0.0,204.0
Staffordshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staffordshire,Other equipment,Spit and bite guard,70.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,77.0
Staffordshire,Other equipment,Shield,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Staffordshire,Less lethal weapons,*Total Less lethal weapons,29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0
Staffordshire,Less lethal weapons,CED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staffordshire,Less lethal weapons,"AEP, of which",29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0
Staffordshire,Less lethal weapons,AEP aimed,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0
Staffordshire,Less lethal weapons,AEP fired,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Staffordshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staffordshire,Firearms,*Total Firearms,17.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0
Staffordshire,Other,*Total Other,154.0,15.0,5.0,0.0,4.0,4.0,4.0,0.0,186.0
Staffordshire,Other,"Dog use, of which",63.0,6.0,2.0,0.0,4.0,2.0,3.0,0.0,80.0
Staffordshire,Other,Dog deployed,52.0,5.0,1.0,0.0,3.0,1.0,2.0,0.0,64.0
Staffordshire,Other,Dog bite,11.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0
Staffordshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staffordshire,Other,Other / improvised,91.0,9.0,3.0,0.0,0.0,2.0,1.0,0.0,106.0
Staffordshire,Not reported,*Total Not reported,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
Staffordshire,Tactical communication,Tactical communication,2259.0,98.0,87.0,1.0,61.0,10.0,9.0,0.0,2525.0
Suffolk,Total (excluding not reported and tactical communication),*Total Tactics,3922.0,271.0,42.0,1.0,0.0,5.0,48.0,150.0,4439.0
Suffolk,Restraint,*Total Restraint,2372.0,171.0,29.0,1.0,0.0,4.0,29.0,84.0,2690.0
Suffolk,Restraint,"Handcuffing, of which",1946.0,144.0,26.0,1.0,0.0,4.0,25.0,57.0,2203.0
Suffolk,Restraint,Compliant handcuffing,1003.0,96.0,17.0,1.0,0.0,3.0,15.0,29.0,1164.0
Suffolk,Restraint,Non-compliant handcuffing,943.0,48.0,9.0,0.0,0.0,1.0,10.0,28.0,1039.0
Suffolk,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suffolk,Restraint,Limb / Body restraints,194.0,8.0,1.0,0.0,0.0,0.0,2.0,14.0,219.0
Suffolk,Restraint,Ground restraint,232.0,19.0,2.0,0.0,0.0,0.0,2.0,13.0,268.0
Suffolk,Unarmed skills,*Total Unarmed skills,667.0,40.0,5.0,0.0,0.0,0.0,5.0,26.0,743.0
Suffolk,Other equipment,*Total Other equipment,261.0,21.0,3.0,0.0,0.0,0.0,3.0,9.0,297.0
Suffolk,Other equipment,"Baton, of which",12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
Suffolk,Other equipment,Baton drawn,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
Suffolk,Other equipment,Baton used,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Suffolk,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suffolk,Other equipment,"Irritant spray, of which",201.0,17.0,2.0,0.0,0.0,0.0,2.0,7.0,229.0
Suffolk,Other equipment,Irritant spray - drawn,88.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,101.0
Suffolk,Other equipment,Irritant spray - used,113.0,8.0,2.0,0.0,0.0,0.0,1.0,4.0,128.0
Suffolk,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suffolk,Other equipment,Spit and bite guard,47.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,52.0
Suffolk,Other equipment,Shield,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Suffolk,Less lethal weapons,*Total Less lethal weapons,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0
Suffolk,Less lethal weapons,CED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suffolk,Less lethal weapons,"AEP, of which",18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0
Suffolk,Less lethal weapons,AEP aimed,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0
Suffolk,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suffolk,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suffolk,Firearms,*Total Firearms,23.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0
Suffolk,Other,*Total Other,581.0,35.0,4.0,0.0,0.0,1.0,10.0,31.0,662.0
Suffolk,Other,"Dog use, of which",18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0
Suffolk,Other,Dog deployed,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Suffolk,Other,Dog bite,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0
Suffolk,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suffolk,Other,Other / improvised,563.0,35.0,4.0,0.0,0.0,1.0,10.0,30.0,643.0
Suffolk,Not reported,*Total Not reported,48.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,56.0
Suffolk,Tactical communication,Tactical communication,1532.0,107.0,20.0,1.0,0.0,5.0,18.0,50.0,1733.0
Surrey,Total (excluding not reported and tactical communication),*Total Tactics,6903.0,562.0,260.0,21.0,57.0,133.0,670.0,0.0,8606.0
Surrey,Restraint,*Total Restraint,4537.0,341.0,155.0,17.0,33.0,85.0,451.0,0.0,5619.0
Surrey,Restraint,"Handcuffing, of which",2288.0,204.0,98.0,11.0,25.0,34.0,180.0,0.0,2840.0
Surrey,Restraint,Compliant handcuffing,1853.0,166.0,78.0,10.0,16.0,32.0,176.0,0.0,2331.0
Surrey,Restraint,Non-compliant handcuffing,435.0,38.0,20.0,1.0,9.0,2.0,4.0,0.0,509.0
Surrey,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surrey,Restraint,Limb / Body restraints,1202.0,82.0,32.0,2.0,3.0,22.0,165.0,0.0,1508.0
Surrey,Restraint,Ground restraint,1047.0,55.0,25.0,4.0,5.0,29.0,106.0,0.0,1271.0
Surrey,Unarmed skills,*Total Unarmed skills,757.0,49.0,31.0,1.0,14.0,8.0,20.0,0.0,880.0
Surrey,Other equipment,*Total Other equipment,320.0,27.0,7.0,1.0,4.0,2.0,28.0,0.0,389.0
Surrey,Other equipment,"Baton, of which",54.0,4.0,1.0,0.0,1.0,1.0,5.0,0.0,66.0
Surrey,Other equipment,Baton drawn,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
Surrey,Other equipment,Baton used,47.0,4.0,1.0,0.0,0.0,1.0,5.0,0.0,58.0
Surrey,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surrey,Other equipment,"Irritant spray, of which",166.0,14.0,6.0,1.0,2.0,1.0,17.0,0.0,207.0
Surrey,Other equipment,Irritant spray - drawn,83.0,8.0,6.0,0.0,0.0,0.0,10.0,0.0,107.0
Surrey,Other equipment,Irritant spray - used,83.0,6.0,0.0,1.0,2.0,1.0,7.0,0.0,100.0
Surrey,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surrey,Other equipment,Spit and bite guard,95.0,9.0,0.0,0.0,1.0,0.0,6.0,0.0,111.0
Surrey,Other equipment,Shield,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Surrey,Less lethal weapons,*Total Less lethal weapons,212.0,37.0,6.0,1.0,5.0,6.0,25.0,0.0,292.0
Surrey,Less lethal weapons,CED,210.0,35.0,6.0,1.0,5.0,6.0,24.0,0.0,287.0
Surrey,Less lethal weapons,"AEP, of which",2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
Surrey,Less lethal weapons,AEP aimed,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
Surrey,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surrey,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surrey,Firearms,*Total Firearms,55.0,9.0,2.0,0.0,0.0,3.0,9.0,0.0,78.0
Surrey,Other,*Total Other,1022.0,99.0,59.0,1.0,1.0,29.0,137.0,0.0,1348.0
Surrey,Other,"Dog use, of which",9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0
Surrey,Other,Dog deployed,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
Surrey,Other,Dog bite,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Surrey,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surrey,Other,Other / improvised,1013.0,98.0,59.0,1.0,0.0,29.0,137.0,0.0,1337.0
Surrey,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surrey,Tactical communication,Tactical communication,843.0,84.0,32.0,0.0,26.0,7.0,5.0,0.0,997.0
Sussex,Total (excluding not reported and tactical communication),*Total Tactics,10375.0,1055.0,260.0,10.0,110.0,41.0,15628.0,11.0,27490.0
Sussex,Restraint,*Total Restraint,5644.0,591.0,160.0,5.0,56.0,23.0,8459.0,4.0,14942.0
Sussex,Restraint,"Handcuffing, of which",3502.0,360.0,118.0,3.0,46.0,18.0,3480.0,4.0,7531.0
Sussex,Restraint,Compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sussex,Restraint,Non-compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sussex,Restraint,Not stated handcuffing,3502.0,360.0,118.0,3.0,46.0,18.0,3480.0,4.0,7531.0
Sussex,Restraint,Limb / Body restraints,1075.0,115.0,30.0,1.0,4.0,3.0,2859.0,0.0,4087.0
Sussex,Restraint,Ground restraint,1067.0,116.0,12.0,1.0,6.0,2.0,2120.0,0.0,3324.0
Sussex,Unarmed skills,*Total Unarmed skills,3751.0,372.0,81.0,4.0,43.0,12.0,6119.0,7.0,10389.0
Sussex,Other equipment,*Total Other equipment,444.0,40.0,1.0,0.0,4.0,2.0,400.0,0.0,891.0
Sussex,Other equipment,"Baton, of which",91.0,7.0,0.0,0.0,0.0,0.0,96.0,0.0,194.0
Sussex,Other equipment,Baton drawn,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Sussex,Other equipment,Baton used,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
Sussex,Other equipment,Not stated baton,30.0,3.0,0.0,0.0,0.0,0.0,96.0,0.0,129.0
Sussex,Other equipment,"Irritant spray, of which",299.0,31.0,1.0,0.0,1.0,2.0,304.0,0.0,638.0
Sussex,Other equipment,Irritant spray - drawn,98.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,106.0
Sussex,Other equipment,Irritant spray - used,100.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,110.0
Sussex,Other equipment,Not stated irritant spray,101.0,17.0,0.0,0.0,0.0,0.0,304.0,0.0,422.0
Sussex,Other equipment,Spit and bite guard,47.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,52.0
Sussex,Other equipment,Shield,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Sussex,Less lethal weapons,*Total Less lethal weapons,185.0,23.0,8.0,0.0,2.0,0.0,175.0,0.0,393.0
Sussex,Less lethal weapons,CED,183.0,23.0,8.0,0.0,2.0,0.0,175.0,0.0,391.0
Sussex,Less lethal weapons,"AEP, of which",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Sussex,Less lethal weapons,AEP aimed,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Sussex,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sussex,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sussex,Firearms,*Total Firearms,41.0,5.0,0.0,0.0,0.0,1.0,81.0,0.0,128.0
Sussex,Other,*Total Other,310.0,24.0,10.0,1.0,5.0,3.0,394.0,0.0,747.0
Sussex,Other,"Dog use, of which",34.0,3.0,2.0,0.0,0.0,3.0,30.0,0.0,72.0
Sussex,Other,Dog deployed,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0
Sussex,Other,Dog bite,4.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,10.0
Sussex,Other,Not stated dog,11.0,2.0,1.0,0.0,0.0,0.0,27.0,0.0,41.0
Sussex,Other,Other / improvised,276.0,21.0,8.0,1.0,5.0,0.0,364.0,0.0,675.0
Sussex,Not reported,*Total Not reported,44.0,3.0,2.0,0.0,0.0,0.0,225.0,0.0,274.0
Sussex,Tactical communication,Tactical communication,1749.0,157.0,44.0,0.0,30.0,11.0,15.0,5.0,2011.0
Thames Valley,Total (excluding not reported and tactical communication),*Total Tactics,20842.0,3626.0,2151.0,23.0,1142.0,335.0,157.0,0.0,28276.0
Thames Valley,Restraint,*Total Restraint,12801.0,2129.0,1364.0,16.0,691.0,214.0,61.0,0.0,17276.0
Thames Valley,Restraint,"Handcuffing, of which",8191.0,1370.0,986.0,12.0,440.0,157.0,35.0,0.0,11191.0
Thames Valley,Restraint,Compliant handcuffing,3376.0,564.0,507.0,7.0,185.0,84.0,16.0,0.0,4739.0
Thames Valley,Restraint,Non-compliant handcuffing,4584.0,758.0,457.0,5.0,238.0,72.0,17.0,0.0,6131.0
Thames Valley,Restraint,Not stated handcuffing,231.0,48.0,22.0,0.0,17.0,1.0,2.0,0.0,321.0
Thames Valley,Restraint,Limb / Body restraints,797.0,112.0,50.0,2.0,52.0,12.0,4.0,0.0,1029.0
Thames Valley,Restraint,Ground restraint,3813.0,647.0,328.0,2.0,199.0,45.0,22.0,0.0,5056.0
Thames Valley,Unarmed skills,*Total Unarmed skills,5757.0,981.0,575.0,6.0,308.0,82.0,31.0,0.0,7740.0
Thames Valley,Other equipment,*Total Other equipment,1149.0,260.0,100.0,0.0,77.0,15.0,9.0,0.0,1610.0
Thames Valley,Other equipment,"Baton, of which",215.0,56.0,39.0,0.0,26.0,2.0,0.0,0.0,338.0
Thames Valley,Other equipment,Baton drawn,74.0,22.0,13.0,0.0,9.0,0.0,0.0,0.0,118.0
Thames Valley,Other equipment,Baton used,85.0,19.0,12.0,0.0,15.0,1.0,0.0,0.0,132.0
Thames Valley,Other equipment,Not stated baton,56.0,15.0,14.0,0.0,2.0,1.0,0.0,0.0,88.0
Thames Valley,Other equipment,"Irritant spray, of which",681.0,165.0,52.0,0.0,36.0,9.0,4.0,0.0,947.0
Thames Valley,Other equipment,Irritant spray - drawn,236.0,54.0,27.0,0.0,16.0,3.0,3.0,0.0,339.0
Thames Valley,Other equipment,Irritant spray - used,445.0,111.0,25.0,0.0,20.0,6.0,1.0,0.0,608.0
Thames Valley,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thames Valley,Other equipment,Spit and bite guard,219.0,35.0,9.0,0.0,14.0,4.0,2.0,0.0,283.0
Thames Valley,Other equipment,Shield,34.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,42.0
Thames Valley,Less lethal weapons,*Total Less lethal weapons,543.0,148.0,52.0,0.0,30.0,14.0,5.0,0.0,792.0
Thames Valley,Less lethal weapons,CED,534.0,144.0,52.0,0.0,29.0,14.0,5.0,0.0,778.0
Thames Valley,Less lethal weapons,"AEP, of which",9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0
Thames Valley,Less lethal weapons,AEP aimed,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0
Thames Valley,Less lethal weapons,AEP fired,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Thames Valley,Less lethal weapons,Not stated AEP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Thames Valley,Firearms,*Total Firearms,45.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,62.0
Thames Valley,Other,*Total Other,547.0,98.0,54.0,1.0,35.0,10.0,51.0,0.0,796.0
Thames Valley,Other,"Dog use, of which",64.0,10.0,8.0,0.0,4.0,0.0,2.0,0.0,88.0
Thames Valley,Other,Dog deployed,44.0,7.0,3.0,0.0,2.0,0.0,2.0,0.0,58.0
Thames Valley,Other,Dog bite,19.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,27.0
Thames Valley,Other,Not stated dog,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Thames Valley,Other,Other / improvised,483.0,88.0,46.0,1.0,31.0,10.0,49.0,0.0,708.0
Thames Valley,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thames Valley,Tactical communication,Tactical communication,10255.0,1830.0,1160.0,15.0,547.0,191.0,68.0,0.0,14066.0
Warwickshire,Total (excluding not reported and tactical communication),*Total Tactics,2151.0,172.0,62.0,11.0,0.0,15.0,0.0,61.0,2472.0
Warwickshire,Restraint,*Total Restraint,1198.0,106.0,36.0,5.0,0.0,8.0,0.0,24.0,1377.0
Warwickshire,Restraint,"Handcuffing, of which",880.0,80.0,31.0,3.0,0.0,6.0,0.0,17.0,1017.0
Warwickshire,Restraint,Compliant handcuffing,378.0,35.0,20.0,0.0,0.0,3.0,0.0,8.0,444.0
Warwickshire,Restraint,Non-compliant handcuffing,502.0,45.0,11.0,3.0,0.0,3.0,0.0,9.0,573.0
Warwickshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Restraint,Limb / Body restraints,33.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0
Warwickshire,Restraint,Ground restraint,285.0,25.0,4.0,2.0,0.0,2.0,0.0,6.0,324.0
Warwickshire,Unarmed skills,*Total Unarmed skills,468.0,34.0,11.0,3.0,0.0,5.0,0.0,11.0,532.0
Warwickshire,Other equipment,*Total Other equipment,175.0,14.0,1.0,1.0,0.0,0.0,0.0,7.0,198.0
Warwickshire,Other equipment,"Baton, of which",31.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0
Warwickshire,Other equipment,Baton drawn,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0
Warwickshire,Other equipment,Baton used,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Warwickshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Other equipment,"Irritant spray, of which",103.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,114.0
Warwickshire,Other equipment,Irritant spray - drawn,43.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0
Warwickshire,Other equipment,Irritant spray - used,60.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,65.0
Warwickshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Other equipment,Spit and bite guard,36.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,43.0
Warwickshire,Other equipment,Shield,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
Warwickshire,Less lethal weapons,*Total Less lethal weapons,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Warwickshire,Less lethal weapons,CED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Warwickshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Less lethal weapons,AEP fired,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Warwickshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Firearms,*Total Firearms,51.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,60.0
Warwickshire,Other,*Total Other,258.0,11.0,13.0,2.0,0.0,2.0,0.0,18.0,304.0
Warwickshire,Other,"Dog use, of which",26.0,2.0,5.0,1.0,0.0,2.0,0.0,1.0,37.0
Warwickshire,Other,Dog deployed,24.0,2.0,5.0,1.0,0.0,2.0,0.0,1.0,35.0
Warwickshire,Other,Dog bite,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Warwickshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Other,Other / improvised,232.0,9.0,8.0,1.0,0.0,0.0,0.0,17.0,267.0
Warwickshire,Not reported,*Total Not reported,49.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,55.0
Warwickshire,Tactical communication,Tactical communication,414.0,38.0,12.0,1.0,0.0,1.0,0.0,18.0,484.0
West Mercia,Total (excluding not reported and tactical communication),*Total Tactics,10077.0,497.0,303.0,6.0,0.0,22.0,0.0,292.0,11197.0
West Mercia,Restraint,*Total Restraint,5460.0,264.0,153.0,2.0,0.0,10.0,0.0,76.0,5965.0
West Mercia,Restraint,"Handcuffing, of which",3659.0,181.0,117.0,2.0,0.0,6.0,0.0,44.0,4009.0
West Mercia,Restraint,Compliant handcuffing,1587.0,89.0,63.0,1.0,0.0,2.0,0.0,20.0,1762.0
West Mercia,Restraint,Non-compliant handcuffing,2072.0,92.0,54.0,1.0,0.0,4.0,0.0,24.0,2247.0
West Mercia,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Restraint,Limb / Body restraints,217.0,10.0,4.0,0.0,0.0,1.0,0.0,2.0,234.0
West Mercia,Restraint,Ground restraint,1584.0,73.0,32.0,0.0,0.0,3.0,0.0,30.0,1722.0
West Mercia,Unarmed skills,*Total Unarmed skills,2420.0,107.0,73.0,1.0,0.0,9.0,0.0,41.0,2651.0
West Mercia,Other equipment,*Total Other equipment,661.0,42.0,21.0,1.0,0.0,1.0,0.0,21.0,747.0
West Mercia,Other equipment,"Baton, of which",118.0,11.0,4.0,1.0,0.0,0.0,0.0,8.0,142.0
West Mercia,Other equipment,Baton drawn,68.0,8.0,3.0,1.0,0.0,0.0,0.0,5.0,85.0
West Mercia,Other equipment,Baton used,50.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,57.0
West Mercia,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Other equipment,"Irritant spray, of which",378.0,30.0,8.0,0.0,0.0,0.0,0.0,13.0,429.0
West Mercia,Other equipment,Irritant spray - drawn,177.0,8.0,6.0,0.0,0.0,0.0,0.0,7.0,198.0
West Mercia,Other equipment,Irritant spray - used,201.0,22.0,2.0,0.0,0.0,0.0,0.0,6.0,231.0
West Mercia,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Other equipment,Spit and bite guard,144.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,154.0
West Mercia,Other equipment,Shield,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
West Mercia,Less lethal weapons,*Total Less lethal weapons,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
West Mercia,Less lethal weapons,CED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Less lethal weapons,"AEP, of which",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
West Mercia,Less lethal weapons,AEP aimed,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
West Mercia,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Firearms,*Total Firearms,109.0,22.0,8.0,0.0,0.0,0.0,0.0,2.0,141.0
West Mercia,Other,*Total Other,1420.0,62.0,48.0,2.0,0.0,2.0,0.0,152.0,1686.0
West Mercia,Other,"Dog use, of which",127.0,9.0,7.0,1.0,0.0,0.0,0.0,33.0,177.0
West Mercia,Other,Dog deployed,111.0,7.0,5.0,1.0,0.0,0.0,0.0,31.0,155.0
West Mercia,Other,Dog bite,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,22.0
West Mercia,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Other,Other / improvised,1293.0,53.0,41.0,1.0,0.0,2.0,0.0,119.0,1509.0
West Mercia,Not reported,*Total Not reported,124.0,13.0,4.0,0.0,0.0,0.0,0.0,3.0,144.0
West Mercia,Tactical communication,Tactical communication,1889.0,97.0,52.0,0.0,0.0,1.0,0.0,40.0,2079.0
West Midlands,Total (excluding not reported and tactical communication),*Total Tactics,7379.0,2053.0,1704.0,6.0,690.0,182.0,246.0,0.0,12260.0
West Midlands,Restraint,*Total Restraint,3153.0,794.0,643.0,3.0,292.0,59.0,64.0,0.0,5008.0
West Midlands,Restraint,"Handcuffing, of which",1804.0,474.0,415.0,3.0,167.0,43.0,34.0,0.0,2940.0
West Midlands,Restraint,Compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Restraint,Non-compliant handcuffing,1804.0,474.0,415.0,3.0,167.0,43.0,34.0,0.0,2940.0
West Midlands,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Restraint,Limb / Body restraints,381.0,69.0,45.0,0.0,42.0,5.0,8.0,0.0,550.0
West Midlands,Restraint,Ground restraint,968.0,251.0,183.0,0.0,83.0,11.0,22.0,0.0,1518.0
West Midlands,Unarmed skills,*Total Unarmed skills,2372.0,603.0,490.0,2.0,204.0,48.0,85.0,0.0,3804.0
West Midlands,Other equipment,*Total Other equipment,820.0,229.0,182.0,0.0,66.0,26.0,57.0,0.0,1380.0
West Midlands,Other equipment,"Baton, of which",159.0,26.0,32.0,0.0,12.0,12.0,31.0,0.0,272.0
West Midlands,Other equipment,Baton drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Other equipment,Baton used,159.0,26.0,32.0,0.0,12.0,12.0,31.0,0.0,272.0
West Midlands,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Other equipment,"Irritant spray, of which",488.0,160.0,119.0,0.0,41.0,7.0,20.0,0.0,835.0
West Midlands,Other equipment,Irritant spray - drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
