Tactic,Police Force,Force type - Output,Tactic - Output,health-condition,count
CED discharge,City of London,,,Physical,0.0
CED not stated,City of London,,,Physical,0.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,City of London,,,Physical,0.0
AEP used,City of London,,,Physical,0.0
AEP not stated,City of London,,,Physical,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,Physical,0.0
*Total Other,City of London,Other,Total: Other,Physical,2.0
"Dog use, of which",City of London,Other,Total: Dog,Physical,0.0
Dog deployed,City of London,Other,Dog: deployed,Physical,0.0
Dog bite,City of London,Other,Dog: bite,Physical,0.0
Dog not stated,City of London,,,Physical,0.0
Other / improvised,City of London,Other,Other / improvised,Physical,2.0
*Total Not reported,City of London,Not reported,Total: Not reported,Physical,0.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,Physical,4.0
*Total Tactics,Cleveland,Total,Total: all,Physical,148.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,Physical,126.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,Physical,125.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,Physical,1.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,Physical,1.0
Handcuffing not stated,Cleveland,,,Physical,123.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,Physical,1.0
Ground restraint,Cleveland,Restraint,Ground restraint,Physical,0.0
*Total Unarmed skills,Cleveland,Unarmed skills,Total: unarmed skills,Physical,7.0
*Total Other equipment,Cleveland,Other equipment,Total: Other equipment,Physical,5.0
"Baton, of which",Cleveland,Other equipment,Total: Baton,Physical,2.0
Baton drawn,Cleveland,Other equipment,Baton: drawn,Physical,0.0
Baton used,Cleveland,Other equipment,Baton: used,Physical,0.0
Baton not stated,Cleveland,,,Physical,2.0
"Irritant spray, of which",Cleveland,Other equipment,Total: Irritant spray,Physical,3.0
Irritant spray - drawn,Cleveland,Other equipment,Irritant spray: drawn,Physical,1.0
Irritant spray - used,Cleveland,Other equipment,Irritant spray: used,Physical,2.0
Irritant spray not stated,Cleveland,,,Physical,0.0
Spit and bite guard,Cleveland,Other equipment,Spit and bite guard,Physical,0.0
Shield,Cleveland,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Cleveland,Less lethal weapons,Total: Less lethal weapons,Physical,1.0
CED of which,Cleveland,,,Physical,1.0
CED non-discharge,Cleveland,,,Physical,1.0
CED discharge,Cleveland,,,Physical,0.0
CED not stated,Cleveland,,,Physical,0.0
"AEP, of which",Cleveland,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Cleveland,,,Physical,0.0
AEP used,Cleveland,,,Physical,0.0
AEP not stated,Cleveland,,,Physical,0.0
*Total Firearms,Cleveland,Firearms,Total: Firearms,Physical,0.0
*Total Other,Cleveland,Other,Total: Other,Physical,9.0
"Dog use, of which",Cleveland,Other,Total: Dog,Physical,0.0
Dog deployed,Cleveland,Other,Dog: deployed,Physical,0.0
Dog bite,Cleveland,Other,Dog: bite,Physical,0.0
Dog not stated,Cleveland,,,Physical,0.0
Other / improvised,Cleveland,Other,Other / improvised,Physical,9.0
*Total Not reported,Cleveland,Not reported,Total: Not reported,Physical,2.0
Tactical communication,Cleveland,Excluded: Tactical Communication,Tactical Communication,Physical,31.0
*Total Tactics,Cumbria,Total,Total: all,Physical,36.0
*Total Restraint,Cumbria,Restraint,Total: Restraint,Physical,14.0
"Handcuffing, of which",Cumbria,Restraint,Total: Handcuffing,Physical,13.0
Compliant handcuffing,Cumbria,Restraint,Handcuffing: compliant,Physical,4.0
Non-compliant handcuffing,Cumbria,Restraint,Handcuffing: non-compliant,Physical,9.0
Handcuffing not stated,Cumbria,,,Physical,0.0
Limb / Body restraints,Cumbria,Restraint,Limb / body restraints,Physical,0.0
Ground restraint,Cumbria,Restraint,Ground restraint,Physical,1.0
*Total Unarmed skills,Cumbria,Unarmed skills,Total: unarmed skills,Physical,9.0
*Total Other equipment,Cumbria,Other equipment,Total: Other equipment,Physical,7.0
"Baton, of which",Cumbria,Other equipment,Total: Baton,Physical,0.0
Baton drawn,Cumbria,Other equipment,Baton: drawn,Physical,0.0
Baton used,Cumbria,Other equipment,Baton: used,Physical,0.0
Baton not stated,Cumbria,,,Physical,0.0
"Irritant spray, of which",Cumbria,Other equipment,Total: Irritant spray,Physical,7.0
Irritant spray - drawn,Cumbria,Other equipment,Irritant spray: drawn,Physical,4.0
Irritant spray - used,Cumbria,Other equipment,Irritant spray: used,Physical,3.0
Irritant spray not stated,Cumbria,,,Physical,0.0
Spit and bite guard,Cumbria,Other equipment,Spit and bite guard,Physical,0.0
Shield,Cumbria,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Cumbria,Less lethal weapons,Total: Less lethal weapons,Physical,3.0
CED of which,Cumbria,,,Physical,3.0
CED non-discharge,Cumbria,,,Physical,2.0
CED discharge,Cumbria,,,Physical,1.0
CED not stated,Cumbria,,,Physical,0.0
"AEP, of which",Cumbria,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Cumbria,,,Physical,0.0
AEP used,Cumbria,,,Physical,0.0
AEP not stated,Cumbria,,,Physical,0.0
*Total Firearms,Cumbria,Firearms,Total: Firearms,Physical,0.0
*Total Other,Cumbria,Other,Total: Other,Physical,3.0
"Dog use, of which",Cumbria,Other,Total: Dog,Physical,0.0
Dog deployed,Cumbria,Other,Dog: deployed,Physical,0.0
Dog bite,Cumbria,Other,Dog: bite,Physical,0.0
Dog not stated,Cumbria,,,Physical,0.0
Other / improvised,Cumbria,Other,Other / improvised,Physical,3.0
*Total Not reported,Cumbria,Not reported,Total: Not reported,Physical,0.0
Tactical communication,Cumbria,Excluded: Tactical Communication,Tactical Communication,Physical,13.0
*Total Tactics,Derbyshire,Total,Total: all,Physical,46.0
*Total Restraint,Derbyshire,Restraint,Total: Restraint,Physical,25.0
"Handcuffing, of which",Derbyshire,Restraint,Total: Handcuffing,Physical,17.0
Compliant handcuffing,Derbyshire,Restraint,Handcuffing: compliant,Physical,
Non-compliant handcuffing,Derbyshire,Restraint,Handcuffing: non-compliant,Physical,
Handcuffing not stated,Derbyshire,,,Physical,17.0
Limb / Body restraints,Derbyshire,Restraint,Limb / body restraints,Physical,7.0
Ground restraint,Derbyshire,Restraint,Ground restraint,Physical,1.0
*Total Unarmed skills,Derbyshire,Unarmed skills,Total: unarmed skills,Physical,17.0
*Total Other equipment,Derbyshire,Other equipment,Total: Other equipment,Physical,1.0
"Baton, of which",Derbyshire,Other equipment,Total: Baton,Physical,0.0
Baton drawn,Derbyshire,Other equipment,Baton: drawn,Physical,0.0
Baton used,Derbyshire,Other equipment,Baton: used,Physical,0.0
Baton not stated,Derbyshire,,,Physical,0.0
"Irritant spray, of which",Derbyshire,Other equipment,Total: Irritant spray,Physical,0.0
Irritant spray - drawn,Derbyshire,Other equipment,Irritant spray: drawn,Physical,0.0
Irritant spray - used,Derbyshire,Other equipment,Irritant spray: used,Physical,0.0
Irritant spray not stated,Derbyshire,,,Physical,0.0
Spit and bite guard,Derbyshire,Other equipment,Spit and bite guard,Physical,1.0
Shield,Derbyshire,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Derbyshire,Less lethal weapons,Total: Less lethal weapons,Physical,1.0
CED of which,Derbyshire,,,Physical,1.0
CED non-discharge,Derbyshire,,,Physical,1.0
CED discharge,Derbyshire,,,Physical,0.0
CED not stated,Derbyshire,,,Physical,0.0
"AEP, of which",Derbyshire,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Derbyshire,,,Physical,0.0
AEP used,Derbyshire,,,Physical,0.0
AEP not stated,Derbyshire,,,Physical,0.0
*Total Firearms,Derbyshire,Firearms,Total: Firearms,Physical,0.0
*Total Other,Derbyshire,Other,Total: Other,Physical,2.0
"Dog use, of which",Derbyshire,Other,Total: Dog,Physical,0.0
Dog deployed,Derbyshire,Other,Dog: deployed,Physical,0.0
Dog bite,Derbyshire,Other,Dog: bite,Physical,0.0
Dog not stated,Derbyshire,,,Physical,0.0
Other / improvised,Derbyshire,Other,Other / improvised,Physical,2.0
*Total Not reported,Derbyshire,Not reported,Total: Not reported,Physical,0.0
Tactical communication,Derbyshire,Excluded: Tactical Communication,Tactical Communication,Physical,23.0
*Total Tactics,Devon & Cornwall,Total,Total: all,Physical,115.0
*Total Restraint,Devon & Cornwall,Restraint,Total: Restraint,Physical,74.0
"Handcuffing, of which",Devon & Cornwall,Restraint,Total: Handcuffing,Physical,57.0
Compliant handcuffing,Devon & Cornwall,Restraint,Handcuffing: compliant,Physical,20.0
Non-compliant handcuffing,Devon & Cornwall,Restraint,Handcuffing: non-compliant,Physical,37.0
Handcuffing not stated,Devon & Cornwall,,,Physical,0.0
Limb / Body restraints,Devon & Cornwall,Restraint,Limb / body restraints,Physical,1.0
Ground restraint,Devon & Cornwall,Restraint,Ground restraint,Physical,16.0
*Total Unarmed skills,Devon & Cornwall,Unarmed skills,Total: unarmed skills,Physical,29.0
*Total Other equipment,Devon & Cornwall,Other equipment,Total: Other equipment,Physical,3.0
"Baton, of which",Devon & Cornwall,Other equipment,Total: Baton,Physical,0.0
Baton drawn,Devon & Cornwall,Other equipment,Baton: drawn,Physical,0.0
Baton used,Devon & Cornwall,Other equipment,Baton: used,Physical,0.0
Baton not stated,Devon & Cornwall,,,Physical,0.0
"Irritant spray, of which",Devon & Cornwall,Other equipment,Total: Irritant spray,Physical,2.0
Irritant spray - drawn,Devon & Cornwall,Other equipment,Irritant spray: drawn,Physical,1.0
Irritant spray - used,Devon & Cornwall,Other equipment,Irritant spray: used,Physical,1.0
Irritant spray not stated,Devon & Cornwall,,,Physical,0.0
Spit and bite guard,Devon & Cornwall,Other equipment,Spit and bite guard,Physical,1.0
Shield,Devon & Cornwall,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Devon & Cornwall,Less lethal weapons,Total: Less lethal weapons,Physical,5.0
CED of which,Devon & Cornwall,,,Physical,5.0
CED non-discharge,Devon & Cornwall,,,Physical,5.0
CED discharge,Devon & Cornwall,,,Physical,0.0
CED not stated,Devon & Cornwall,,,Physical,0.0
"AEP, of which",Devon & Cornwall,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Devon & Cornwall,,,Physical,0.0
AEP used,Devon & Cornwall,,,Physical,0.0
AEP not stated,Devon & Cornwall,,,Physical,0.0
*Total Firearms,Devon & Cornwall,Firearms,Total: Firearms,Physical,0.0
*Total Other,Devon & Cornwall,Other,Total: Other,Physical,4.0
"Dog use, of which",Devon & Cornwall,Other,Total: Dog,Physical,0.0
Dog deployed,Devon & Cornwall,Other,Dog: deployed,Physical,0.0
Dog bite,Devon & Cornwall,Other,Dog: bite,Physical,0.0
Dog not stated,Devon & Cornwall,,,Physical,0.0
Other / improvised,Devon & Cornwall,Other,Other / improvised,Physical,4.0
*Total Not reported,Devon & Cornwall,Not reported,Total: Not reported,Physical,0.0
Tactical communication,Devon & Cornwall,Excluded: Tactical Communication,Tactical Communication,Physical,61.0
*Total Tactics,Dorset,Total,Total: all,Physical,490.0
*Total Restraint,Dorset,Restraint,Total: Restraint,Physical,387.0
"Handcuffing, of which",Dorset,Restraint,Total: Handcuffing,Physical,268.0
Compliant handcuffing,Dorset,Restraint,Handcuffing: compliant,Physical,92.0
Non-compliant handcuffing,Dorset,Restraint,Handcuffing: non-compliant,Physical,176.0
Handcuffing not stated,Dorset,,,Physical,0.0
Limb / Body restraints,Dorset,Restraint,Limb / body restraints,Physical,21.0
Ground restraint,Dorset,Restraint,Ground restraint,Physical,98.0
*Total Unarmed skills,Dorset,Unarmed skills,Total: unarmed skills,Physical,75.0
*Total Other equipment,Dorset,Other equipment,Total: Other equipment,Physical,17.0
"Baton, of which",Dorset,Other equipment,Total: Baton,Physical,0.0
Baton drawn,Dorset,Other equipment,Baton: drawn,Physical,0.0
Baton used,Dorset,Other equipment,Baton: used,Physical,0.0
Baton not stated,Dorset,,,Physical,0.0
"Irritant spray, of which",Dorset,Other equipment,Total: Irritant spray,Physical,13.0
Irritant spray - drawn,Dorset,Other equipment,Irritant spray: drawn,Physical,6.0
Irritant spray - used,Dorset,Other equipment,Irritant spray: used,Physical,7.0
Irritant spray not stated,Dorset,,,Physical,0.0
Spit and bite guard,Dorset,Other equipment,Spit and bite guard,Physical,4.0
Shield,Dorset,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Dorset,Less lethal weapons,Total: Less lethal weapons,Physical,3.0
CED of which,Dorset,,,Physical,3.0
CED non-discharge,Dorset,,,Physical,3.0
CED discharge,Dorset,,,Physical,0.0
CED not stated,Dorset,,,Physical,0.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Dorset,,,Physical,0.0
AEP used,Dorset,,,Physical,0.0
AEP not stated,Dorset,,,Physical,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,Physical,1.0
*Total Other,Dorset,Other,Total: Other,Physical,7.0
"Dog use, of which",Dorset,Other,Total: Dog,Physical,0.0
Dog deployed,Dorset,Other,Dog: deployed,Physical,0.0
Dog bite,Dorset,Other,Dog: bite,Physical,0.0
Dog not stated,Dorset,,,Physical,0.0
Other / improvised,Dorset,Other,Other / improvised,Physical,7.0
*Total Not reported,Dorset,Not reported,Total: Not reported,Physical,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,Physical,14.0
*Total Tactics,Durham,Total,Total: all,Physical,40.0
*Total Restraint,Durham,Restraint,Total: Restraint,Physical,22.0
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,Physical,19.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,Physical,13.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,Physical,6.0
Handcuffing not stated,Durham,,,Physical,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,Physical,1.0
Ground restraint,Durham,Restraint,Ground restraint,Physical,2.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,Physical,14.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,Physical,1.0
"Baton, of which",Durham,Other equipment,Total: Baton,Physical,0.0
Baton drawn,Durham,Other equipment,Baton: drawn,Physical,0.0
Baton used,Durham,Other equipment,Baton: used,Physical,0.0
Baton not stated,Durham,,,Physical,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,Physical,1.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,Physical,0.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,Physical,1.0
Irritant spray not stated,Durham,,,Physical,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,Physical,0.0
Shield,Durham,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,Physical,0.0
CED of which,Durham,,,Physical,0.0
CED non-discharge,Durham,,,Physical,0.0
CED discharge,Durham,,,Physical,0.0
CED not stated,Durham,,,Physical,0.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Durham,,,Physical,0.0
AEP used,Durham,,,Physical,0.0
AEP not stated,Durham,,,Physical,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,Physical,0.0
*Total Other,Durham,Other,Total: Other,Physical,3.0
"Dog use, of which",Durham,Other,Total: Dog,Physical,0.0
Dog deployed,Durham,Other,Dog: deployed,Physical,0.0
Dog bite,Durham,Other,Dog: bite,Physical,0.0
Dog not stated,Durham,,,Physical,0.0
Other / improvised,Durham,Other,Other / improvised,Physical,3.0
*Total Not reported,Durham,Not reported,Total: Not reported,Physical,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,Physical,9.0
*Total Tactics,Dyfed-Powys,Total,Total: all,Physical,19.0
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,Physical,9.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,Physical,7.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,Physical,7.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,Physical,0.0
Handcuffing not stated,Dyfed-Powys,,,Physical,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,Physical,1.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,Physical,1.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,Physical,8.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,Physical,0.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,Physical,0.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,Physical,0.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,Physical,0.0
Baton not stated,Dyfed-Powys,,,Physical,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,Physical,0.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,Physical,0.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,Physical,0.0
Irritant spray not stated,Dyfed-Powys,,,Physical,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,Physical,0.0
Shield,Dyfed-Powys,Other equipment,Shield,Physical,0.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,Physical,0.0
CED of which,Dyfed-Powys,,,Physical,0.0
CED non-discharge,Dyfed-Powys,,,Physical,0.0
CED discharge,Dyfed-Powys,,,Physical,0.0
CED not stated,Dyfed-Powys,,,Physical,0.0
"AEP, of which",Dyfed-Powys,Less lethal weapons,Total: AEP,Physical,0.0
AEP drawn,Dyfed-Powys,,,Physical,0.0
AEP used,Dyfed-Powys,,,Physical,0.0
AEP not stated,Dyfed-Powys,,,Physical,0.0
*Total Firearms,Dyfed-Powys,Firearms,Total: Firearms,Physical,1.0
*Total Other,Dyfed-Powys,Other,Total: Other,Physical,1.0
"Dog use, of which",Dyfed-Powys,Other,Total: Dog,Physical,0.0
Dog deployed,Dyfed-Powys,Other,Dog: deployed,Physical,0.0
Dog bite,Dyfed-Powys,Other,Dog: bite,Physical,0.0
Dog not stated,Dyfed-Powys,,,Physical,0.0
Other / improvised,Dyfed-Powys,Other,Other / improvised,Physical,1.0
*Total Not reported,Dyfed-Powys,Not reported,Total: Not reported,Physical,0.0
