Tactic,Police Force,Force type - Output,Tactic - Output,Age,count
"Irritant spray, of which",Kent,Other equipment,Total: Irritant spray,11 - 17 years,24.0
Irritant spray - drawn,Kent,Other equipment,Irritant spray: drawn,11 - 17 years,14.0
Irritant spray - used,Kent,Other equipment,Irritant spray: used,11 - 17 years,10.0
Not stated irritant spray,Kent,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Kent,Other equipment,Spit and bite guard,11 - 17 years,7.0
Shield,Kent,Other equipment,Shield,11 - 17 years,3.0
*Total Less lethal weapons,Kent,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,33.0
CED,Kent,Less lethal weapons,CED,11 - 17 years,31.0
"AEP, of which",Kent,Less lethal weapons,Total: AEP,11 - 17 years,2.0
AEP aimed,Kent,Less lethal weapons,AEP: Aimed,11 - 17 years,2.0
AEP fired,Kent,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Kent,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Kent,Firearms,Total: Firearms,11 - 17 years,6.0
*Total Other,Kent,Other,Total: Other,11 - 17 years,82.0
"Dog use, of which",Kent,Other,Total: Dog,11 - 17 years,4.0
Dog deployed,Kent,Other,Dog: deployed,11 - 17 years,3.0
Dog bite,Kent,Other,Dog: bite,11 - 17 years,1.0
Not stated dog,Kent,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Kent,Other,Other / improvised,11 - 17 years,78.0
*Total Not reported,Kent,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Kent,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,364.0
*Total Tactics,Lancashire,Total,Total: all,11 - 17 years,500.0
*Total Restraint,Lancashire,Restraint,Total: Restraint,11 - 17 years,225.0
"Handcuffing, of which",Lancashire,Restraint,Total: Handcuffing,11 - 17 years,185.0
Compliant handcuffing,Lancashire,Restraint,Handcuffing: compliant,11 - 17 years,69.0
Non-compliant handcuffing,Lancashire,Restraint,Handcuffing: non-compliant,11 - 17 years,116.0
Not stated handcuffing,Lancashire,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Lancashire,Restraint,Limb / body restraints,11 - 17 years,6.0
Ground restraint,Lancashire,Restraint,Ground restraint,11 - 17 years,34.0
*Total Unarmed skills,Lancashire,Unarmed skills,Total: unarmed skills,11 - 17 years,232.0
*Total Other equipment,Lancashire,Other equipment,Total: Other equipment,11 - 17 years,15.0
"Baton, of which",Lancashire,Other equipment,Total: Baton,11 - 17 years,2.0
Baton drawn,Lancashire,Other equipment,Baton: drawn,11 - 17 years,1.0
Baton used,Lancashire,Other equipment,Baton: used,11 - 17 years,1.0
Not stated baton,Lancashire,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Lancashire,Other equipment,Total: Irritant spray,11 - 17 years,13.0
Irritant spray - drawn,Lancashire,Other equipment,Irritant spray: drawn,11 - 17 years,4.0
Irritant spray - used,Lancashire,Other equipment,Irritant spray: used,11 - 17 years,9.0
Not stated irritant spray,Lancashire,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Lancashire,Other equipment,Spit and bite guard,11 - 17 years,0.0
Shield,Lancashire,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Lancashire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,8.0
CED,Lancashire,Less lethal weapons,CED,11 - 17 years,7.0
"AEP, of which",Lancashire,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP aimed,Lancashire,Less lethal weapons,AEP: Aimed,11 - 17 years,1.0
AEP fired,Lancashire,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Lancashire,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Lancashire,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,Lancashire,Other,Total: Other,11 - 17 years,20.0
"Dog use, of which",Lancashire,Other,Total: Dog,11 - 17 years,1.0
Dog deployed,Lancashire,Other,Dog: deployed,11 - 17 years,1.0
Dog bite,Lancashire,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Lancashire,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Lancashire,Other,Other / improvised,11 - 17 years,19.0
*Total Not reported,Lancashire,Not reported,Total: Not reported,11 - 17 years,1.0
Tactical communication,Lancashire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,250.0
*Total Tactics,Leicestershire,Total,Total: all,11 - 17 years,1050.0
*Total Restraint,Leicestershire,Restraint,Total: Restraint,11 - 17 years,658.0
"Handcuffing, of which",Leicestershire,Restraint,Total: Handcuffing,11 - 17 years,620.0
Compliant handcuffing,Leicestershire,Restraint,Handcuffing: compliant,11 - 17 years,445.0
Non-compliant handcuffing,Leicestershire,Restraint,Handcuffing: non-compliant,11 - 17 years,175.0
Not stated handcuffing,Leicestershire,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Leicestershire,Restraint,Limb / body restraints,11 - 17 years,36.0
Ground restraint,Leicestershire,Restraint,Ground restraint,11 - 17 years,2.0
*Total Unarmed skills,Leicestershire,Unarmed skills,Total: unarmed skills,11 - 17 years,211.0
*Total Other equipment,Leicestershire,Other equipment,Total: Other equipment,11 - 17 years,40.0
"Baton, of which",Leicestershire,Other equipment,Total: Baton,11 - 17 years,9.0
Baton drawn,Leicestershire,Other equipment,Baton: drawn,11 - 17 years,6.0
Baton used,Leicestershire,Other equipment,Baton: used,11 - 17 years,3.0
Not stated baton,Leicestershire,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Leicestershire,Other equipment,Total: Irritant spray,11 - 17 years,24.0
Irritant spray - drawn,Leicestershire,Other equipment,Irritant spray: drawn,11 - 17 years,18.0
Irritant spray - used,Leicestershire,Other equipment,Irritant spray: used,11 - 17 years,6.0
Not stated irritant spray,Leicestershire,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Leicestershire,Other equipment,Spit and bite guard,11 - 17 years,6.0
Shield,Leicestershire,Other equipment,Shield,11 - 17 years,1.0
*Total Less lethal weapons,Leicestershire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,62.0
CED,Leicestershire,Less lethal weapons,CED,11 - 17 years,59.0
"AEP, of which",Leicestershire,Less lethal weapons,Total: AEP,11 - 17 years,3.0
AEP aimed,Leicestershire,Less lethal weapons,AEP: Aimed,11 - 17 years,3.0
AEP fired,Leicestershire,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Leicestershire,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Leicestershire,Firearms,Total: Firearms,11 - 17 years,2.0
*Total Other,Leicestershire,Other,Total: Other,11 - 17 years,77.0
"Dog use, of which",Leicestershire,Other,Total: Dog,11 - 17 years,4.0
Dog deployed,Leicestershire,Other,Dog: deployed,11 - 17 years,3.0
Dog bite,Leicestershire,Other,Dog: bite,11 - 17 years,1.0
Not stated dog,Leicestershire,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Leicestershire,Other,Other / improvised,11 - 17 years,73.0
*Total Not reported,Leicestershire,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Leicestershire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,315.0
*Total Tactics,Lincolnshire,Total,Total: all,11 - 17 years,394.0
*Total Restraint,Lincolnshire,Restraint,Total: Restraint,11 - 17 years,220.0
"Handcuffing, of which",Lincolnshire,Restraint,Total: Handcuffing,11 - 17 years,186.0
Compliant handcuffing,Lincolnshire,Restraint,Handcuffing: compliant,11 - 17 years,98.0
Non-compliant handcuffing,Lincolnshire,Restraint,Handcuffing: non-compliant,11 - 17 years,88.0
Not stated handcuffing,Lincolnshire,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Lincolnshire,Restraint,Limb / body restraints,11 - 17 years,8.0
Ground restraint,Lincolnshire,Restraint,Ground restraint,11 - 17 years,26.0
*Total Unarmed skills,Lincolnshire,Unarmed skills,Total: unarmed skills,11 - 17 years,126.0
*Total Other equipment,Lincolnshire,Other equipment,Total: Other equipment,11 - 17 years,18.0
"Baton, of which",Lincolnshire,Other equipment,Total: Baton,11 - 17 years,6.0
Baton drawn,Lincolnshire,Other equipment,Baton: drawn,11 - 17 years,6.0
Baton used,Lincolnshire,Other equipment,Baton: used,11 - 17 years,0.0
Not stated baton,Lincolnshire,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Lincolnshire,Other equipment,Total: Irritant spray,11 - 17 years,11.0
Irritant spray - drawn,Lincolnshire,Other equipment,Irritant spray: drawn,11 - 17 years,4.0
Irritant spray - used,Lincolnshire,Other equipment,Irritant spray: used,11 - 17 years,7.0
Not stated irritant spray,Lincolnshire,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Lincolnshire,Other equipment,Spit and bite guard,11 - 17 years,1.0
Shield,Lincolnshire,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Lincolnshire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,17.0
CED,Lincolnshire,Less lethal weapons,CED,11 - 17 years,16.0
"AEP, of which",Lincolnshire,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP aimed,Lincolnshire,Less lethal weapons,AEP: Aimed,11 - 17 years,1.0
AEP fired,Lincolnshire,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Lincolnshire,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Lincolnshire,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,Lincolnshire,Other,Total: Other,11 - 17 years,13.0
"Dog use, of which",Lincolnshire,Other,Total: Dog,11 - 17 years,2.0
Dog deployed,Lincolnshire,Other,Dog: deployed,11 - 17 years,2.0
Dog bite,Lincolnshire,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Lincolnshire,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Lincolnshire,Other,Other / improvised,11 - 17 years,11.0
*Total Not reported,Lincolnshire,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Lincolnshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,199.0
*Total Tactics,Merseyside,Total,Total: all,11 - 17 years,1145.0
*Total Restraint,Merseyside,Restraint,Total: Restraint,11 - 17 years,418.0
"Handcuffing, of which",Merseyside,Restraint,Total: Handcuffing,11 - 17 years,353.0
Compliant handcuffing,Merseyside,Restraint,Handcuffing: compliant,11 - 17 years,88.0
Non-compliant handcuffing,Merseyside,Restraint,Handcuffing: non-compliant,11 - 17 years,265.0
Not stated handcuffing,Merseyside,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Merseyside,Restraint,Limb / body restraints,11 - 17 years,29.0
Ground restraint,Merseyside,Restraint,Ground restraint,11 - 17 years,36.0
*Total Unarmed skills,Merseyside,Unarmed skills,Total: unarmed skills,11 - 17 years,415.0
*Total Other equipment,Merseyside,Other equipment,Total: Other equipment,11 - 17 years,51.0
"Baton, of which",Merseyside,Other equipment,Total: Baton,11 - 17 years,10.0
Baton drawn,Merseyside,Other equipment,Baton: drawn,11 - 17 years,7.0
Baton used,Merseyside,Other equipment,Baton: used,11 - 17 years,3.0
Not stated baton,Merseyside,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Merseyside,Other equipment,Total: Irritant spray,11 - 17 years,34.0
Irritant spray - drawn,Merseyside,Other equipment,Irritant spray: drawn,11 - 17 years,18.0
Irritant spray - used,Merseyside,Other equipment,Irritant spray: used,11 - 17 years,16.0
Not stated irritant spray,Merseyside,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Merseyside,Other equipment,Spit and bite guard,11 - 17 years,7.0
Shield,Merseyside,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Merseyside,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,17.0
CED,Merseyside,Less lethal weapons,CED,11 - 17 years,17.0
"AEP, of which",Merseyside,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP aimed,Merseyside,Less lethal weapons,AEP: Aimed,11 - 17 years,0.0
AEP fired,Merseyside,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Merseyside,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Merseyside,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,Merseyside,Other,Total: Other,11 - 17 years,244.0
"Dog use, of which",Merseyside,Other,Total: Dog,11 - 17 years,4.0
Dog deployed,Merseyside,Other,Dog: deployed,11 - 17 years,2.0
Dog bite,Merseyside,Other,Dog: bite,11 - 17 years,2.0
Not stated dog,Merseyside,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Merseyside,Other,Other / improvised,11 - 17 years,240.0
*Total Not reported,Merseyside,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Merseyside,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,499.0
*Total Tactics,Metropolitan,Total,Total: all,11 - 17 years,19951.0
*Total Restraint,Metropolitan,Restraint,Total: Restraint,11 - 17 years,14306.0
"Handcuffing, of which",Metropolitan,Restraint,Total: Handcuffing,11 - 17 years,11480.0
Compliant handcuffing,Metropolitan,Restraint,Handcuffing: compliant,11 - 17 years,7708.0
Non-compliant handcuffing,Metropolitan,Restraint,Handcuffing: non-compliant,11 - 17 years,3772.0
Not stated handcuffing,Metropolitan,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Metropolitan,Restraint,Limb / body restraints,11 - 17 years,830.0
Ground restraint,Metropolitan,Restraint,Ground restraint,11 - 17 years,1996.0
*Total Unarmed skills,Metropolitan,Unarmed skills,Total: unarmed skills,11 - 17 years,3747.0
*Total Other equipment,Metropolitan,Other equipment,Total: Other equipment,11 - 17 years,449.0
"Baton, of which",Metropolitan,Other equipment,Total: Baton,11 - 17 years,278.0
Baton drawn,Metropolitan,Other equipment,Baton: drawn,11 - 17 years,231.0
Baton used,Metropolitan,Other equipment,Baton: used,11 - 17 years,47.0
Not stated baton,Metropolitan,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Metropolitan,Other equipment,Total: Irritant spray,11 - 17 years,116.0
Irritant spray - drawn,Metropolitan,Other equipment,Irritant spray: drawn,11 - 17 years,83.0
Irritant spray - used,Metropolitan,Other equipment,Irritant spray: used,11 - 17 years,33.0
Not stated irritant spray,Metropolitan,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Metropolitan,Other equipment,Spit and bite guard,11 - 17 years,49.0
Shield,Metropolitan,Other equipment,Shield,11 - 17 years,6.0
*Total Less lethal weapons,Metropolitan,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,783.0
CED,Metropolitan,Less lethal weapons,CED,11 - 17 years,783.0
"AEP, of which",Metropolitan,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP aimed,Metropolitan,Less lethal weapons,AEP: Aimed,11 - 17 years,0.0
AEP fired,Metropolitan,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Metropolitan,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Metropolitan,Firearms,Total: Firearms,11 - 17 years,88.0
*Total Other,Metropolitan,Other,Total: Other,11 - 17 years,578.0
"Dog use, of which",Metropolitan,Other,Total: Dog,11 - 17 years,71.0
Dog deployed,Metropolitan,Other,Dog: deployed,11 - 17 years,54.0
Dog bite,Metropolitan,Other,Dog: bite,11 - 17 years,17.0
Not stated dog,Metropolitan,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Metropolitan,Other,Other / improvised,11 - 17 years,507.0
*Total Not reported,Metropolitan,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Metropolitan,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,4248.0
*Total Tactics,Norfolk,Total,Total: all,11 - 17 years,629.0
*Total Restraint,Norfolk,Restraint,Total: Restraint,11 - 17 years,411.0
"Handcuffing, of which",Norfolk,Restraint,Total: Handcuffing,11 - 17 years,334.0
Compliant handcuffing,Norfolk,Restraint,Handcuffing: compliant,11 - 17 years,159.0
Non-compliant handcuffing,Norfolk,Restraint,Handcuffing: non-compliant,11 - 17 years,175.0
Not stated handcuffing,Norfolk,Restraint,Handcuffing: not stated,11 - 17 years,0.0
Limb / Body restraints,Norfolk,Restraint,Limb / body restraints,11 - 17 years,30.0
Ground restraint,Norfolk,Restraint,Ground restraint,11 - 17 years,47.0
*Total Unarmed skills,Norfolk,Unarmed skills,Total: unarmed skills,11 - 17 years,119.0
*Total Other equipment,Norfolk,Other equipment,Total: Other equipment,11 - 17 years,35.0
"Baton, of which",Norfolk,Other equipment,Total: Baton,11 - 17 years,2.0
Baton drawn,Norfolk,Other equipment,Baton: drawn,11 - 17 years,1.0
Baton used,Norfolk,Other equipment,Baton: used,11 - 17 years,1.0
Not stated baton,Norfolk,Other equipment,Baton: not stated,11 - 17 years,0.0
"Irritant spray, of which",Norfolk,Other equipment,Total: Irritant spray,11 - 17 years,27.0
Irritant spray - drawn,Norfolk,Other equipment,Irritant spray: drawn,11 - 17 years,17.0
Irritant spray - used,Norfolk,Other equipment,Irritant spray: used,11 - 17 years,10.0
Not stated irritant spray,Norfolk,Other equipment,Irritant spray: not stated,11 - 17 years,0.0
Spit and bite guard,Norfolk,Other equipment,Spit and bite guard,11 - 17 years,6.0
Shield,Norfolk,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Norfolk,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,1.0
CED,Norfolk,Less lethal weapons,CED,11 - 17 years,0.0
"AEP, of which",Norfolk,Less lethal weapons,Total: AEP,11 - 17 years,1.0
AEP aimed,Norfolk,Less lethal weapons,AEP: Aimed,11 - 17 years,1.0
AEP fired,Norfolk,Less lethal weapons,AEP: Fired,11 - 17 years,0.0
Not stated AEP,Norfolk,Less lethal weapons,AEP: Not stated,11 - 17 years,0.0
*Total Firearms,Norfolk,Firearms,Total: Firearms,11 - 17 years,1.0
*Total Other,Norfolk,Other,Total: Other,11 - 17 years,62.0
"Dog use, of which",Norfolk,Other,Total: Dog,11 - 17 years,0.0
Dog deployed,Norfolk,Other,Dog: deployed,11 - 17 years,0.0
Dog bite,Norfolk,Other,Dog: bite,11 - 17 years,0.0
Not stated dog,Norfolk,Other,Dog: not stated,11 - 17 years,0.0
Other / improvised,Norfolk,Other,Other / improvised,11 - 17 years,62.0
*Total Not reported,Norfolk,Not reported,Total: Not reported,11 - 17 years,18.0
Tactical communication,Norfolk,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,258.0
*Total Tactics,North Wales,Total,Total: all,11 - 17 years,113.0
*Total Restraint,North Wales,Restraint,Total: Restraint,11 - 17 years,52.0
