Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Sussex,Restraint,"Handcuffing, of which",2.0,677.0,4058.0,1884.0,582.0,58.0,270.0,7531.0
Sussex,Restraint,Compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sussex,Restraint,Non-compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sussex,Restraint,Not stated handcuffing,2.0,677.0,4058.0,1884.0,582.0,58.0,270.0,7531.0
Sussex,Restraint,Limb / Body restraints,2.0,339.0,2089.0,1003.0,303.0,39.0,312.0,4087.0
Sussex,Restraint,Ground restraint,1.0,267.0,1916.0,757.0,190.0,31.0,162.0,3324.0
Sussex,Unarmed skills,*Total Unarmed skills,7.0,910.0,5530.0,2481.0,769.0,111.0,581.0,10389.0
Sussex,Other equipment,*Total Other equipment,0.0,25.0,527.0,221.0,51.0,13.0,54.0,891.0
Sussex,Other equipment,"Baton, of which",0.0,5.0,113.0,51.0,10.0,2.0,13.0,194.0
Sussex,Other equipment,Baton drawn,0.0,2.0,24.0,9.0,1.0,0.0,0.0,36.0
Sussex,Other equipment,Baton used,0.0,1.0,20.0,6.0,2.0,0.0,0.0,29.0
Sussex,Other equipment,Not stated baton,0.0,2.0,69.0,36.0,7.0,2.0,13.0,129.0
Sussex,Other equipment,"Irritant spray, of which",0.0,15.0,380.0,151.0,40.0,11.0,41.0,638.0
Sussex,Other equipment,Irritant spray - drawn,0.0,5.0,53.0,35.0,10.0,3.0,0.0,106.0
Sussex,Other equipment,Irritant spray - used,0.0,1.0,77.0,21.0,8.0,3.0,0.0,110.0
Sussex,Other equipment,Not stated irritant spray,0.0,9.0,250.0,95.0,22.0,5.0,41.0,422.0
Sussex,Other equipment,Spit and bite guard,0.0,5.0,34.0,12.0,1.0,0.0,0.0,52.0
Sussex,Other equipment,Shield,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0
Sussex,Less lethal weapons,*Total Less lethal weapons,0.0,23.0,228.0,89.0,28.0,2.0,23.0,393.0
Sussex,Less lethal weapons,CED,0.0,23.0,227.0,89.0,27.0,2.0,23.0,391.0
Sussex,Less lethal weapons,"AEP, of which",0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Sussex,Less lethal weapons,AEP aimed,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Sussex,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sussex,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sussex,Firearms,*Total Firearms,0.0,7.0,68.0,33.0,9.0,3.0,8.0,128.0
Sussex,Other,*Total Other,1.0,90.0,383.0,179.0,47.0,8.0,39.0,747.0
Sussex,Other,"Dog use, of which",0.0,18.0,37.0,13.0,1.0,0.0,3.0,72.0
Sussex,Other,Dog deployed,0.0,7.0,9.0,4.0,1.0,0.0,0.0,21.0
Sussex,Other,Dog bite,0.0,3.0,4.0,2.0,0.0,0.0,1.0,10.0
Sussex,Other,Not stated dog,0.0,8.0,24.0,7.0,0.0,0.0,2.0,41.0
Sussex,Other,Other / improvised,1.0,72.0,346.0,166.0,46.0,8.0,36.0,675.0
Sussex,Not reported,*Total Not reported,2.0,15.0,113.0,43.0,17.0,3.0,81.0,274.0
Sussex,Tactical communication,Tactical communication,0.0,220.0,1106.0,477.0,183.0,20.0,5.0,2011.0
Thames Valley,Total (excluding not reported and tactical communication),*Total Tactics,12.0,2838.0,16329.0,7093.0,1720.0,132.0,152.0,28276.0
Thames Valley,Restraint,*Total Restraint,3.0,1737.0,9951.0,4390.0,1063.0,69.0,63.0,17276.0
Thames Valley,Restraint,"Handcuffing, of which",1.0,1077.0,6227.0,3032.0,758.0,52.0,44.0,11191.0
Thames Valley,Restraint,Compliant handcuffing,1.0,382.0,2638.0,1346.0,323.0,21.0,28.0,4739.0
Thames Valley,Restraint,Non-compliant handcuffing,0.0,658.0,3401.0,1613.0,415.0,30.0,14.0,6131.0
Thames Valley,Restraint,Not stated handcuffing,0.0,37.0,188.0,73.0,20.0,1.0,2.0,321.0
Thames Valley,Restraint,Limb / Body restraints,0.0,94.0,658.0,214.0,55.0,5.0,3.0,1029.0
Thames Valley,Restraint,Ground restraint,2.0,566.0,3066.0,1144.0,250.0,12.0,16.0,5056.0
Thames Valley,Unarmed skills,*Total Unarmed skills,8.0,860.0,4390.0,1914.0,501.0,47.0,20.0,7740.0
Thames Valley,Other equipment,*Total Other equipment,0.0,125.0,999.0,391.0,84.0,4.0,7.0,1610.0
Thames Valley,Other equipment,"Baton, of which",0.0,24.0,221.0,80.0,12.0,0.0,1.0,338.0
Thames Valley,Other equipment,Baton drawn,0.0,16.0,68.0,28.0,6.0,0.0,0.0,118.0
Thames Valley,Other equipment,Baton used,0.0,2.0,91.0,36.0,2.0,0.0,1.0,132.0
Thames Valley,Other equipment,Not stated baton,0.0,6.0,62.0,16.0,4.0,0.0,0.0,88.0
Thames Valley,Other equipment,"Irritant spray, of which",0.0,79.0,559.0,245.0,59.0,3.0,2.0,947.0
Thames Valley,Other equipment,Irritant spray - drawn,0.0,36.0,202.0,82.0,16.0,2.0,1.0,339.0
Thames Valley,Other equipment,Irritant spray - used,0.0,43.0,357.0,163.0,43.0,1.0,1.0,608.0
Thames Valley,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thames Valley,Other equipment,Spit and bite guard,0.0,22.0,192.0,59.0,9.0,0.0,1.0,283.0
Thames Valley,Other equipment,Shield,0.0,0.0,27.0,7.0,4.0,1.0,3.0,42.0
Thames Valley,Less lethal weapons,*Total Less lethal weapons,0.0,47.0,485.0,207.0,36.0,5.0,12.0,792.0
Thames Valley,Less lethal weapons,CED,0.0,47.0,475.0,204.0,35.0,5.0,12.0,778.0
Thames Valley,Less lethal weapons,"AEP, of which",0.0,0.0,10.0,3.0,1.0,0.0,0.0,14.0
Thames Valley,Less lethal weapons,AEP aimed,0.0,0.0,9.0,3.0,0.0,0.0,0.0,12.0
Thames Valley,Less lethal weapons,AEP fired,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Thames Valley,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Thames Valley,Firearms,*Total Firearms,0.0,0.0,54.0,6.0,1.0,1.0,0.0,62.0
Thames Valley,Other,*Total Other,1.0,69.0,450.0,185.0,35.0,6.0,50.0,796.0
Thames Valley,Other,"Dog use, of which",0.0,4.0,55.0,27.0,1.0,0.0,1.0,88.0
Thames Valley,Other,Dog deployed,0.0,4.0,34.0,18.0,1.0,0.0,1.0,58.0
Thames Valley,Other,Dog bite,0.0,0.0,18.0,9.0,0.0,0.0,0.0,27.0
Thames Valley,Other,Not stated dog,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
Thames Valley,Other,Other / improvised,1.0,65.0,395.0,158.0,34.0,6.0,49.0,708.0
Thames Valley,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thames Valley,Tactical communication,Tactical communication,9.0,1391.0,7882.0,3705.0,925.0,82.0,72.0,14066.0
Warwickshire,Total (excluding not reported and tactical communication),*Total Tactics,0.0,0.0,0.0,0.0,0.0,0.0,2472.0,2472.0
Warwickshire,Restraint,*Total Restraint,0.0,0.0,0.0,0.0,0.0,0.0,1377.0,1377.0
Warwickshire,Restraint,"Handcuffing, of which",0.0,0.0,0.0,0.0,0.0,0.0,1017.0,1017.0
Warwickshire,Restraint,Compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,444.0,444.0
Warwickshire,Restraint,Non-compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,573.0,573.0
Warwickshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Restraint,Limb / Body restraints,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0
Warwickshire,Restraint,Ground restraint,0.0,0.0,0.0,0.0,0.0,0.0,324.0,324.0
Warwickshire,Unarmed skills,*Total Unarmed skills,0.0,0.0,0.0,0.0,0.0,0.0,532.0,532.0
Warwickshire,Other equipment,*Total Other equipment,0.0,0.0,0.0,0.0,0.0,0.0,198.0,198.0
Warwickshire,Other equipment,"Baton, of which",0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0
Warwickshire,Other equipment,Baton drawn,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0
Warwickshire,Other equipment,Baton used,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
Warwickshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Other equipment,"Irritant spray, of which",0.0,0.0,0.0,0.0,0.0,0.0,114.0,114.0
Warwickshire,Other equipment,Irritant spray - drawn,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0
Warwickshire,Other equipment,Irritant spray - used,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0
Warwickshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0
Warwickshire,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Warwickshire,Less lethal weapons,*Total Less lethal weapons,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Warwickshire,Less lethal weapons,CED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Warwickshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Warwickshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Firearms,*Total Firearms,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0
Warwickshire,Other,*Total Other,0.0,0.0,0.0,0.0,0.0,0.0,304.0,304.0
Warwickshire,Other,"Dog use, of which",0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0
Warwickshire,Other,Dog deployed,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0
Warwickshire,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Warwickshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwickshire,Other,Other / improvised,0.0,0.0,0.0,0.0,0.0,0.0,267.0,267.0
Warwickshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0
Warwickshire,Tactical communication,Tactical communication,0.0,0.0,0.0,0.0,0.0,0.0,484.0,484.0
West Mercia,Total (excluding not reported and tactical communication),*Total Tactics,0.0,0.0,0.0,0.0,0.0,0.0,11197.0,11197.0
West Mercia,Restraint,*Total Restraint,0.0,0.0,0.0,0.0,0.0,0.0,5965.0,5965.0
West Mercia,Restraint,"Handcuffing, of which",0.0,0.0,0.0,0.0,0.0,0.0,4009.0,4009.0
West Mercia,Restraint,Compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,1762.0,1762.0
West Mercia,Restraint,Non-compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,2247.0,2247.0
West Mercia,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Restraint,Limb / Body restraints,0.0,0.0,0.0,0.0,0.0,0.0,234.0,234.0
West Mercia,Restraint,Ground restraint,0.0,0.0,0.0,0.0,0.0,0.0,1722.0,1722.0
West Mercia,Unarmed skills,*Total Unarmed skills,0.0,0.0,0.0,0.0,0.0,0.0,2651.0,2651.0
West Mercia,Other equipment,*Total Other equipment,0.0,0.0,0.0,0.0,0.0,0.0,747.0,747.0
West Mercia,Other equipment,"Baton, of which",0.0,0.0,0.0,0.0,0.0,0.0,142.0,142.0
West Mercia,Other equipment,Baton drawn,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0
West Mercia,Other equipment,Baton used,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0
West Mercia,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Other equipment,"Irritant spray, of which",0.0,0.0,0.0,0.0,0.0,0.0,429.0,429.0
West Mercia,Other equipment,Irritant spray - drawn,0.0,0.0,0.0,0.0,0.0,0.0,198.0,198.0
West Mercia,Other equipment,Irritant spray - used,0.0,0.0,0.0,0.0,0.0,0.0,231.0,231.0
West Mercia,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Other equipment,Spit and bite guard,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0
West Mercia,Other equipment,Shield,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0
West Mercia,Less lethal weapons,*Total Less lethal weapons,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
West Mercia,Less lethal weapons,CED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
West Mercia,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
West Mercia,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Firearms,*Total Firearms,0.0,0.0,0.0,0.0,0.0,0.0,141.0,141.0
West Mercia,Other,*Total Other,0.0,0.0,0.0,0.0,0.0,0.0,1686.0,1686.0
West Mercia,Other,"Dog use, of which",0.0,0.0,0.0,0.0,0.0,0.0,177.0,177.0
West Mercia,Other,Dog deployed,0.0,0.0,0.0,0.0,0.0,0.0,155.0,155.0
West Mercia,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0
West Mercia,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Mercia,Other,Other / improvised,0.0,0.0,0.0,0.0,0.0,0.0,1509.0,1509.0
West Mercia,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,144.0,144.0
West Mercia,Tactical communication,Tactical communication,0.0,0.0,0.0,0.0,0.0,0.0,2079.0,2079.0
West Midlands,Total (excluding not reported and tactical communication),*Total Tactics,14.0,980.0,7488.0,3038.0,663.0,75.0,2.0,12260.0
West Midlands,Restraint,*Total Restraint,3.0,478.0,2957.0,1257.0,288.0,25.0,0.0,5008.0
West Midlands,Restraint,"Handcuffing, of which",0.0,289.0,1708.0,747.0,178.0,18.0,0.0,2940.0
West Midlands,Restraint,Compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Restraint,Non-compliant handcuffing,0.0,289.0,1708.0,747.0,178.0,18.0,0.0,2940.0
West Midlands,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Restraint,Limb / Body restraints,1.0,58.0,327.0,124.0,36.0,4.0,0.0,550.0
West Midlands,Restraint,Ground restraint,2.0,131.0,922.0,386.0,74.0,3.0,0.0,1518.0
West Midlands,Unarmed skills,*Total Unarmed skills,5.0,323.0,2225.0,994.0,229.0,27.0,1.0,3804.0
West Midlands,Other equipment,*Total Other equipment,1.0,64.0,922.0,336.0,51.0,5.0,1.0,1380.0
West Midlands,Other equipment,"Baton, of which",0.0,13.0,214.0,40.0,4.0,1.0,0.0,272.0
West Midlands,Other equipment,Baton drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Other equipment,Baton used,0.0,13.0,214.0,40.0,4.0,1.0,0.0,272.0
West Midlands,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Other equipment,"Irritant spray, of which",1.0,39.0,551.0,204.0,37.0,2.0,1.0,835.0
West Midlands,Other equipment,Irritant spray - drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Other equipment,Irritant spray - used,1.0,39.0,551.0,204.0,37.0,2.0,1.0,835.0
West Midlands,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Other equipment,Spit and bite guard,0.0,12.0,143.0,82.0,10.0,2.0,0.0,249.0
West Midlands,Other equipment,Shield,0.0,0.0,14.0,10.0,0.0,0.0,0.0,24.0
West Midlands,Less lethal weapons,*Total Less lethal weapons,1.0,39.0,457.0,195.0,38.0,5.0,0.0,735.0
West Midlands,Less lethal weapons,CED,1.0,37.0,434.0,192.0,37.0,5.0,0.0,706.0
West Midlands,Less lethal weapons,"AEP, of which",0.0,2.0,23.0,3.0,1.0,0.0,0.0,29.0
West Midlands,Less lethal weapons,AEP aimed,0.0,1.0,21.0,2.0,1.0,0.0,0.0,25.0
West Midlands,Less lethal weapons,AEP fired,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0
West Midlands,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Firearms,*Total Firearms,1.0,13.0,474.0,90.0,20.0,5.0,0.0,603.0
West Midlands,Other,*Total Other,3.0,63.0,453.0,166.0,37.0,8.0,0.0,730.0
West Midlands,Other,"Dog use, of which",0.0,12.0,88.0,15.0,1.0,0.0,0.0,116.0
West Midlands,Other,Dog deployed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Other,Dog bite,0.0,12.0,88.0,15.0,1.0,0.0,0.0,116.0
West Midlands,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Other,Other / improvised,3.0,51.0,365.0,151.0,36.0,8.0,0.0,614.0
West Midlands,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Midlands,Tactical communication,Tactical communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Yorkshire,Total (excluding not reported and tactical communication),*Total Tactics,24.0,2146.0,12045.0,5526.0,1047.0,91.0,526.0,21405.0
West Yorkshire,Restraint,*Total Restraint,6.0,1237.0,6992.0,3414.0,628.0,54.0,112.0,12443.0
West Yorkshire,Restraint,"Handcuffing, of which",5.0,1121.0,6160.0,3151.0,598.0,50.0,83.0,11168.0
West Yorkshire,Restraint,Compliant handcuffing,1.0,619.0,3801.0,2052.0,394.0,32.0,43.0,6942.0
West Yorkshire,Restraint,Non-compliant handcuffing,4.0,502.0,2359.0,1099.0,204.0,18.0,40.0,4226.0
West Yorkshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Yorkshire,Restraint,Limb / Body restraints,1.0,63.0,412.0,117.0,14.0,4.0,15.0,626.0
West Yorkshire,Restraint,Ground restraint,0.0,53.0,420.0,146.0,16.0,0.0,14.0,649.0
West Yorkshire,Unarmed skills,*Total Unarmed skills,15.0,697.0,3176.0,1387.0,267.0,30.0,219.0,5791.0
West Yorkshire,Other equipment,*Total Other equipment,0.0,80.0,1010.0,378.0,63.0,1.0,80.0,1612.0
West Yorkshire,Other equipment,"Baton, of which",0.0,20.0,109.0,31.0,6.0,0.0,29.0,195.0
West Yorkshire,Other equipment,Baton drawn,0.0,12.0,63.0,18.0,6.0,0.0,24.0,123.0
West Yorkshire,Other equipment,Baton used,0.0,8.0,46.0,13.0,0.0,0.0,5.0,72.0
West Yorkshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Yorkshire,Other equipment,"Irritant spray, of which",0.0,48.0,719.0,284.0,50.0,1.0,47.0,1149.0
West Yorkshire,Other equipment,Irritant spray - drawn,0.0,23.0,258.0,104.0,22.0,0.0,19.0,426.0
West Yorkshire,Other equipment,Irritant spray - used,0.0,25.0,461.0,180.0,28.0,1.0,28.0,723.0
West Yorkshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Yorkshire,Other equipment,Spit and bite guard,0.0,11.0,175.0,54.0,5.0,0.0,3.0,248.0
West Yorkshire,Other equipment,Shield,0.0,1.0,7.0,9.0,2.0,0.0,1.0,20.0
West Yorkshire,Less lethal weapons,*Total Less lethal weapons,0.0,53.0,490.0,205.0,59.0,3.0,29.0,839.0
West Yorkshire,Less lethal weapons,CED,0.0,50.0,461.0,195.0,55.0,3.0,20.0,784.0
West Yorkshire,Less lethal weapons,"AEP, of which",0.0,3.0,29.0,10.0,4.0,0.0,9.0,55.0
West Yorkshire,Less lethal weapons,AEP aimed,0.0,3.0,29.0,10.0,4.0,0.0,9.0,55.0
West Yorkshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Yorkshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Yorkshire,Firearms,*Total Firearms,0.0,38.0,228.0,55.0,22.0,0.0,37.0,380.0
West Yorkshire,Other,*Total Other,3.0,41.0,149.0,87.0,8.0,3.0,49.0,340.0
West Yorkshire,Other,"Dog use, of which",0.0,13.0,31.0,16.0,2.0,0.0,27.0,89.0
West Yorkshire,Other,Dog deployed,0.0,10.0,27.0,15.0,1.0,0.0,26.0,79.0
West Yorkshire,Other,Dog bite,0.0,3.0,4.0,1.0,1.0,0.0,1.0,10.0
West Yorkshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Yorkshire,Other,Other / improvised,3.0,28.0,118.0,71.0,6.0,3.0,22.0,251.0
West Yorkshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0
West Yorkshire,Tactical communication,Tactical communication,16.0,1076.0,5501.0,2529.0,545.0,49.0,291.0,10007.0
Wiltshire,Total (excluding not reported and tactical communication),*Total Tactics,4.0,273.0,1570.0,544.0,130.0,31.0,1.0,2553.0
Wiltshire,Restraint,*Total Restraint,1.0,158.0,824.0,300.0,70.0,19.0,1.0,1373.0
Wiltshire,Restraint,"Handcuffing, of which",0.0,112.0,629.0,240.0,58.0,18.0,1.0,1058.0
Wiltshire,Restraint,Compliant handcuffing,0.0,43.0,252.0,101.0,32.0,5.0,0.0,433.0
Wiltshire,Restraint,Non-compliant handcuffing,0.0,27.0,157.0,62.0,12.0,7.0,0.0,265.0
Wiltshire,Restraint,Not stated handcuffing,0.0,42.0,220.0,77.0,14.0,6.0,1.0,360.0
Wiltshire,Restraint,Limb / Body restraints,0.0,19.0,55.0,15.0,5.0,0.0,0.0,94.0
Wiltshire,Restraint,Ground restraint,1.0,27.0,140.0,45.0,7.0,1.0,0.0,221.0
Wiltshire,Unarmed skills,*Total Unarmed skills,0.0,80.0,425.0,131.0,39.0,5.0,0.0,680.0
Wiltshire,Other equipment,*Total Other equipment,0.0,4.0,77.0,24.0,7.0,1.0,0.0,113.0
Wiltshire,Other equipment,"Baton, of which",0.0,0.0,24.0,6.0,2.0,0.0,0.0,32.0
Wiltshire,Other equipment,Baton drawn,0.0,0.0,8.0,2.0,0.0,0.0,0.0,10.0
Wiltshire,Other equipment,Baton used,0.0,0.0,9.0,4.0,2.0,0.0,0.0,15.0
Wiltshire,Other equipment,Not stated baton,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0
Wiltshire,Other equipment,"Irritant spray, of which",0.0,4.0,48.0,18.0,5.0,1.0,0.0,76.0
Wiltshire,Other equipment,Irritant spray - drawn,0.0,2.0,6.0,3.0,1.0,0.0,0.0,12.0
Wiltshire,Other equipment,Irritant spray - used,0.0,2.0,28.0,8.0,3.0,1.0,0.0,42.0
Wiltshire,Other equipment,Not stated irritant spray,0.0,0.0,14.0,7.0,1.0,0.0,0.0,22.0
Wiltshire,Other equipment,Spit and bite guard,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
Wiltshire,Other equipment,Shield,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Wiltshire,Less lethal weapons,*Total Less lethal weapons,2.0,23.0,196.0,72.0,12.0,5.0,0.0,310.0
Wiltshire,Less lethal weapons,CED,1.0,23.0,196.0,72.0,12.0,5.0,0.0,309.0
Wiltshire,Less lethal weapons,"AEP, of which",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Wiltshire,Less lethal weapons,AEP aimed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Wiltshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wiltshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wiltshire,Firearms,*Total Firearms,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Wiltshire,Other,*Total Other,1.0,8.0,46.0,17.0,2.0,1.0,0.0,75.0
Wiltshire,Other,"Dog use, of which",0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0
Wiltshire,Other,Dog deployed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Wiltshire,Other,Dog bite,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
Wiltshire,Other,Not stated dog,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Wiltshire,Other,Other / improvised,1.0,8.0,42.0,16.0,2.0,1.0,0.0,70.0
Wiltshire,Not reported,*Total Not reported,0.0,9.0,46.0,22.0,4.0,0.0,0.0,81.0
Wiltshire,Tactical communication,Tactical communication,2.0,66.0,322.0,109.0,30.0,10.0,0.0,539.0
