Tactic,Police Force,Force type - Output,Tactic - Output,age,count
CED of which,Thames Valley,,,11 - 17 years,84.0
CED non-discharge,Thames Valley,,,11 - 17 years,75.0
CED discharge,Thames Valley,,,11 - 17 years,4.0
CED not stated,Thames Valley,,,11 - 17 years,5.0
"AEP, of which",Thames Valley,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP drawn,Thames Valley,,,11 - 17 years,0.0
AEP used,Thames Valley,,,11 - 17 years,0.0
AEP not stated,Thames Valley,,,11 - 17 years,0.0
*Total Firearms,Thames Valley,Firearms,Total: Firearms,11 - 17 years,2.0
*Total Other,Thames Valley,Other,Total: Other,11 - 17 years,137.0
"Dog use, of which",Thames Valley,Other,Total: Dog,11 - 17 years,13.0
Dog deployed,Thames Valley,Other,Dog: deployed,11 - 17 years,
Dog bite,Thames Valley,Other,Dog: bite,11 - 17 years,
Dog not stated,Thames Valley,,,11 - 17 years,13.0
Other / improvised,Thames Valley,Other,Other / improvised,11 - 17 years,124.0
*Total Not reported,Thames Valley,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Thames Valley,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,171.0
*Total Tactics,Warwickshire,Total,Total: all,11 - 17 years,
*Total Restraint,Warwickshire,Restraint,Total: Restraint,11 - 17 years,
"Handcuffing, of which",Warwickshire,Restraint,Total: Handcuffing,11 - 17 years,
Compliant handcuffing,Warwickshire,Restraint,Handcuffing: compliant,11 - 17 years,
Non-compliant handcuffing,Warwickshire,Restraint,Handcuffing: non-compliant,11 - 17 years,
Handcuffing not stated,Warwickshire,,,11 - 17 years,
Limb / Body restraints,Warwickshire,Restraint,Limb / body restraints,11 - 17 years,
Ground restraint,Warwickshire,Restraint,Ground restraint,11 - 17 years,
*Total Unarmed skills,Warwickshire,Unarmed skills,Total: unarmed skills,11 - 17 years,
*Total Other equipment,Warwickshire,Other equipment,Total: Other equipment,11 - 17 years,
"Baton, of which",Warwickshire,Other equipment,Total: Baton,11 - 17 years,
Baton drawn,Warwickshire,Other equipment,Baton: drawn,11 - 17 years,
Baton used,Warwickshire,Other equipment,Baton: used,11 - 17 years,
Baton not stated,Warwickshire,,,11 - 17 years,
"Irritant spray, of which",Warwickshire,Other equipment,Total: Irritant spray,11 - 17 years,
Irritant spray - drawn,Warwickshire,Other equipment,Irritant spray: drawn,11 - 17 years,
Irritant spray - used,Warwickshire,Other equipment,Irritant spray: used,11 - 17 years,
Irritant spray not stated,Warwickshire,,,11 - 17 years,
Spit and bite guard,Warwickshire,Other equipment,Spit and bite guard,11 - 17 years,
Shield,Warwickshire,Other equipment,Shield,11 - 17 years,
*Total Less lethal weapons,Warwickshire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,
CED of which,Warwickshire,,,11 - 17 years,
CED non-discharge,Warwickshire,,,11 - 17 years,
CED discharge,Warwickshire,,,11 - 17 years,
CED not stated,Warwickshire,,,11 - 17 years,
"AEP, of which",Warwickshire,Less lethal weapons,Total: AEP,11 - 17 years,
AEP drawn,Warwickshire,,,11 - 17 years,
AEP used,Warwickshire,,,11 - 17 years,
AEP not stated,Warwickshire,,,11 - 17 years,
*Total Firearms,Warwickshire,Firearms,Total: Firearms,11 - 17 years,
*Total Other,Warwickshire,Other,Total: Other,11 - 17 years,
"Dog use, of which",Warwickshire,Other,Total: Dog,11 - 17 years,
Dog deployed,Warwickshire,Other,Dog: deployed,11 - 17 years,
Dog bite,Warwickshire,Other,Dog: bite,11 - 17 years,
Dog not stated,Warwickshire,,,11 - 17 years,
Other / improvised,Warwickshire,Other,Other / improvised,11 - 17 years,
*Total Not reported,Warwickshire,Not reported,Total: Not reported,11 - 17 years,
Tactical communication,Warwickshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,
*Total Tactics,West Mercia,Total,Total: all,11 - 17 years,
*Total Restraint,West Mercia,Restraint,Total: Restraint,11 - 17 years,
"Handcuffing, of which",West Mercia,Restraint,Total: Handcuffing,11 - 17 years,
Compliant handcuffing,West Mercia,Restraint,Handcuffing: compliant,11 - 17 years,
Non-compliant handcuffing,West Mercia,Restraint,Handcuffing: non-compliant,11 - 17 years,
Handcuffing not stated,West Mercia,,,11 - 17 years,
Limb / Body restraints,West Mercia,Restraint,Limb / body restraints,11 - 17 years,
Ground restraint,West Mercia,Restraint,Ground restraint,11 - 17 years,
*Total Unarmed skills,West Mercia,Unarmed skills,Total: unarmed skills,11 - 17 years,
*Total Other equipment,West Mercia,Other equipment,Total: Other equipment,11 - 17 years,
"Baton, of which",West Mercia,Other equipment,Total: Baton,11 - 17 years,
Baton drawn,West Mercia,Other equipment,Baton: drawn,11 - 17 years,
Baton used,West Mercia,Other equipment,Baton: used,11 - 17 years,
Baton not stated,West Mercia,,,11 - 17 years,
"Irritant spray, of which",West Mercia,Other equipment,Total: Irritant spray,11 - 17 years,
Irritant spray - drawn,West Mercia,Other equipment,Irritant spray: drawn,11 - 17 years,
Irritant spray - used,West Mercia,Other equipment,Irritant spray: used,11 - 17 years,
Irritant spray not stated,West Mercia,,,11 - 17 years,
Spit and bite guard,West Mercia,Other equipment,Spit and bite guard,11 - 17 years,
Shield,West Mercia,Other equipment,Shield,11 - 17 years,
*Total Less lethal weapons,West Mercia,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,
CED of which,West Mercia,,,11 - 17 years,
CED non-discharge,West Mercia,,,11 - 17 years,
CED discharge,West Mercia,,,11 - 17 years,
CED not stated,West Mercia,,,11 - 17 years,
"AEP, of which",West Mercia,Less lethal weapons,Total: AEP,11 - 17 years,
AEP drawn,West Mercia,,,11 - 17 years,
AEP used,West Mercia,,,11 - 17 years,
AEP not stated,West Mercia,,,11 - 17 years,
*Total Firearms,West Mercia,Firearms,Total: Firearms,11 - 17 years,
*Total Other,West Mercia,Other,Total: Other,11 - 17 years,
"Dog use, of which",West Mercia,Other,Total: Dog,11 - 17 years,
Dog deployed,West Mercia,Other,Dog: deployed,11 - 17 years,
Dog bite,West Mercia,Other,Dog: bite,11 - 17 years,
Dog not stated,West Mercia,,,11 - 17 years,
Other / improvised,West Mercia,Other,Other / improvised,11 - 17 years,
*Total Not reported,West Mercia,Not reported,Total: Not reported,11 - 17 years,
Tactical communication,West Mercia,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,
*Total Tactics,West Midlands,Total,Total: all,11 - 17 years,1321.0
*Total Restraint,West Midlands,Restraint,Total: Restraint,11 - 17 years,581.0
"Handcuffing, of which",West Midlands,Restraint,Total: Handcuffing,11 - 17 years,356.0
Compliant handcuffing,West Midlands,Restraint,Handcuffing: compliant,11 - 17 years,59.0
Non-compliant handcuffing,West Midlands,Restraint,Handcuffing: non-compliant,11 - 17 years,297.0
Handcuffing not stated,West Midlands,,,11 - 17 years,0.0
Limb / Body restraints,West Midlands,Restraint,Limb / body restraints,11 - 17 years,60.0
Ground restraint,West Midlands,Restraint,Ground restraint,11 - 17 years,165.0
*Total Unarmed skills,West Midlands,Unarmed skills,Total: unarmed skills,11 - 17 years,451.0
*Total Other equipment,West Midlands,Other equipment,Total: Other equipment,11 - 17 years,67.0
"Baton, of which",West Midlands,Other equipment,Total: Baton,11 - 17 years,16.0
Baton drawn,West Midlands,Other equipment,Baton: drawn,11 - 17 years,
Baton used,West Midlands,Other equipment,Baton: used,11 - 17 years,
Baton not stated,West Midlands,,,11 - 17 years,16.0
"Irritant spray, of which",West Midlands,Other equipment,Total: Irritant spray,11 - 17 years,38.0
Irritant spray - drawn,West Midlands,Other equipment,Irritant spray: drawn,11 - 17 years,
Irritant spray - used,West Midlands,Other equipment,Irritant spray: used,11 - 17 years,
Irritant spray not stated,West Midlands,,,11 - 17 years,38.0
Spit and bite guard,West Midlands,Other equipment,Spit and bite guard,11 - 17 years,13.0
Shield,West Midlands,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,West Midlands,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,147.0
CED of which,West Midlands,,,11 - 17 years,147.0
CED non-discharge,West Midlands,,,11 - 17 years,141.0
CED discharge,West Midlands,,,11 - 17 years,6.0
CED not stated,West Midlands,,,11 - 17 years,0.0
"AEP, of which",West Midlands,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP drawn,West Midlands,,,11 - 17 years,0.0
AEP used,West Midlands,,,11 - 17 years,0.0
AEP not stated,West Midlands,,,11 - 17 years,0.0
*Total Firearms,West Midlands,Firearms,Total: Firearms,11 - 17 years,22.0
*Total Other,West Midlands,Other,Total: Other,11 - 17 years,53.0
"Dog use, of which",West Midlands,Other,Total: Dog,11 - 17 years,3.0
Dog deployed,West Midlands,Other,Dog: deployed,11 - 17 years,
Dog bite,West Midlands,Other,Dog: bite,11 - 17 years,
Dog not stated,West Midlands,,,11 - 17 years,3.0
Other / improvised,West Midlands,Other,Other / improvised,11 - 17 years,50.0
*Total Not reported,West Midlands,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,West Midlands,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,0.0
*Total Tactics,West Yorkshire,Total,Total: all,11 - 17 years,2420.0
*Total Restraint,West Yorkshire,Restraint,Total: Restraint,11 - 17 years,1350.0
"Handcuffing, of which",West Yorkshire,Restraint,Total: Handcuffing,11 - 17 years,1226.0
Compliant handcuffing,West Yorkshire,Restraint,Handcuffing: compliant,11 - 17 years,731.0
Non-compliant handcuffing,West Yorkshire,Restraint,Handcuffing: non-compliant,11 - 17 years,495.0
Handcuffing not stated,West Yorkshire,,,11 - 17 years,0.0
Limb / Body restraints,West Yorkshire,Restraint,Limb / body restraints,11 - 17 years,54.0
Ground restraint,West Yorkshire,Restraint,Ground restraint,11 - 17 years,70.0
*Total Unarmed skills,West Yorkshire,Unarmed skills,Total: unarmed skills,11 - 17 years,827.0
*Total Other equipment,West Yorkshire,Other equipment,Total: Other equipment,11 - 17 years,120.0
"Baton, of which",West Yorkshire,Other equipment,Total: Baton,11 - 17 years,28.0
Baton drawn,West Yorkshire,Other equipment,Baton: drawn,11 - 17 years,18.0
Baton used,West Yorkshire,Other equipment,Baton: used,11 - 17 years,10.0
Baton not stated,West Yorkshire,,,11 - 17 years,0.0
"Irritant spray, of which",West Yorkshire,Other equipment,Total: Irritant spray,11 - 17 years,67.0
Irritant spray - drawn,West Yorkshire,Other equipment,Irritant spray: drawn,11 - 17 years,28.0
Irritant spray - used,West Yorkshire,Other equipment,Irritant spray: used,11 - 17 years,39.0
Irritant spray not stated,West Yorkshire,,,11 - 17 years,0.0
Spit and bite guard,West Yorkshire,Other equipment,Spit and bite guard,11 - 17 years,24.0
Shield,West Yorkshire,Other equipment,Shield,11 - 17 years,1.0
*Total Less lethal weapons,West Yorkshire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,52.0
CED of which,West Yorkshire,,,11 - 17 years,49.0
CED non-discharge,West Yorkshire,,,11 - 17 years,48.0
CED discharge,West Yorkshire,,,11 - 17 years,1.0
CED not stated,West Yorkshire,,,11 - 17 years,0.0
"AEP, of which",West Yorkshire,Less lethal weapons,Total: AEP,11 - 17 years,3.0
AEP drawn,West Yorkshire,,,11 - 17 years,3.0
AEP used,West Yorkshire,,,11 - 17 years,0.0
AEP not stated,West Yorkshire,,,11 - 17 years,0.0
*Total Firearms,West Yorkshire,Firearms,Total: Firearms,11 - 17 years,9.0
*Total Other,West Yorkshire,Other,Total: Other,11 - 17 years,62.0
"Dog use, of which",West Yorkshire,Other,Total: Dog,11 - 17 years,8.0
Dog deployed,West Yorkshire,Other,Dog: deployed,11 - 17 years,4.0
Dog bite,West Yorkshire,Other,Dog: bite,11 - 17 years,4.0
Dog not stated,West Yorkshire,,,11 - 17 years,0.0
Other / improvised,West Yorkshire,Other,Other / improvised,11 - 17 years,54.0
*Total Not reported,West Yorkshire,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,West Yorkshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,1235.0
*Total Tactics,Wiltshire,Total,Total: all,11 - 17 years,460.0
*Total Restraint,Wiltshire,Restraint,Total: Restraint,11 - 17 years,383.0
"Handcuffing, of which",Wiltshire,Restraint,Total: Handcuffing,11 - 17 years,350.0
Compliant handcuffing,Wiltshire,Restraint,Handcuffing: compliant,11 - 17 years,112.0
Non-compliant handcuffing,Wiltshire,Restraint,Handcuffing: non-compliant,11 - 17 years,238.0
Handcuffing not stated,Wiltshire,,,11 - 17 years,0.0
Limb / Body restraints,Wiltshire,Restraint,Limb / body restraints,11 - 17 years,33.0
Ground restraint,Wiltshire,Restraint,Ground restraint,11 - 17 years,0.0
*Total Unarmed skills,Wiltshire,Unarmed skills,Total: unarmed skills,11 - 17 years,13.0
*Total Other equipment,Wiltshire,Other equipment,Total: Other equipment,11 - 17 years,19.0
"Baton, of which",Wiltshire,Other equipment,Total: Baton,11 - 17 years,1.0
Baton drawn,Wiltshire,Other equipment,Baton: drawn,11 - 17 years,0.0
Baton used,Wiltshire,Other equipment,Baton: used,11 - 17 years,1.0
Baton not stated,Wiltshire,,,11 - 17 years,0.0
"Irritant spray, of which",Wiltshire,Other equipment,Total: Irritant spray,11 - 17 years,3.0
Irritant spray - drawn,Wiltshire,Other equipment,Irritant spray: drawn,11 - 17 years,3.0
Irritant spray - used,Wiltshire,Other equipment,Irritant spray: used,11 - 17 years,0.0
Irritant spray not stated,Wiltshire,,,11 - 17 years,0.0
Spit and bite guard,Wiltshire,Other equipment,Spit and bite guard,11 - 17 years,15.0
Shield,Wiltshire,Other equipment,Shield,11 - 17 years,0.0
*Total Less lethal weapons,Wiltshire,Less lethal weapons,Total: Less lethal weapons,11 - 17 years,31.0
CED of which,Wiltshire,,,11 - 17 years,31.0
CED non-discharge,Wiltshire,,,11 - 17 years,26.0
CED discharge,Wiltshire,,,11 - 17 years,5.0
CED not stated,Wiltshire,,,11 - 17 years,0.0
"AEP, of which",Wiltshire,Less lethal weapons,Total: AEP,11 - 17 years,0.0
AEP drawn,Wiltshire,,,11 - 17 years,0.0
AEP used,Wiltshire,,,11 - 17 years,0.0
AEP not stated,Wiltshire,,,11 - 17 years,0.0
*Total Firearms,Wiltshire,Firearms,Total: Firearms,11 - 17 years,0.0
*Total Other,Wiltshire,Other,Total: Other,11 - 17 years,14.0
"Dog use, of which",Wiltshire,Other,Total: Dog,11 - 17 years,0.0
Dog deployed,Wiltshire,Other,Dog: deployed,11 - 17 years,0.0
Dog bite,Wiltshire,Other,Dog: bite,11 - 17 years,0.0
Dog not stated,Wiltshire,,,11 - 17 years,0.0
Other / improvised,Wiltshire,Other,Other / improvised,11 - 17 years,14.0
*Total Not reported,Wiltshire,Not reported,Total: Not reported,11 - 17 years,0.0
Tactical communication,Wiltshire,Excluded: Tactical Communication,Tactical Communication,11 - 17 years,74.0
*Total Tactics,Avon & Somerset,Total,Total: all,18 - 34 years,11799.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,18 - 34 years,5621.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,18 - 34 years,4278.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,18 - 34 years,
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,18 - 34 years,
Handcuffing not stated,Avon & Somerset,,,18 - 34 years,4278.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,18 - 34 years,555.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,18 - 34 years,788.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,18 - 34 years,4467.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,18 - 34 years,530.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,18 - 34 years,28.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,18 - 34 years,
Baton used,Avon & Somerset,Other equipment,Baton: used,18 - 34 years,
Baton not stated,Avon & Somerset,,,18 - 34 years,28.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,18 - 34 years,340.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,18 - 34 years,
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,18 - 34 years,
Irritant spray not stated,Avon & Somerset,,,18 - 34 years,340.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,18 - 34 years,162.0
Shield,Avon & Somerset,Other equipment,Shield,18 - 34 years,0.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,18 - 34 years,636.0
CED of which,Avon & Somerset,,,18 - 34 years,636.0
CED non-discharge,Avon & Somerset,,,18 - 34 years,516.0
CED discharge,Avon & Somerset,,,18 - 34 years,112.0
CED not stated,Avon & Somerset,,,18 - 34 years,8.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,18 - 34 years,0.0
AEP drawn,Avon & Somerset,,,18 - 34 years,0.0
AEP used,Avon & Somerset,,,18 - 34 years,0.0
AEP not stated,Avon & Somerset,,,18 - 34 years,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,18 - 34 years,15.0
*Total Other,Avon & Somerset,Other,Total: Other,18 - 34 years,530.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,18 - 34 years,10.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,18 - 34 years,
Dog bite,Avon & Somerset,Other,Dog: bite,18 - 34 years,
Dog not stated,Avon & Somerset,,,18 - 34 years,10.0
Other / improvised,Avon & Somerset,Other,Other / improvised,18 - 34 years,520.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,18 - 34 years,88.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,18 - 34 years,1492.0
*Total Tactics,Bedfordshire,Total,Total: all,18 - 34 years,3792.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,18 - 34 years,2150.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,18 - 34 years,1445.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,18 - 34 years,755.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,18 - 34 years,690.0
Handcuffing not stated,Bedfordshire,,,18 - 34 years,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,18 - 34 years,266.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,18 - 34 years,439.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,18 - 34 years,1134.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,18 - 34 years,228.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,18 - 34 years,45.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,18 - 34 years,29.0
Baton used,Bedfordshire,Other equipment,Baton: used,18 - 34 years,16.0
