Tactic,Police Force,Force type - Output,Tactic - Output,Disability,count
"Irritant spray, of which",Sussex,Other equipment,Total: Irritant spray,Mental,108.0
Irritant spray - drawn,Sussex,Other equipment,Irritant spray: drawn,Mental,32.0
Irritant spray - used,Sussex,Other equipment,Irritant spray: used,Mental,28.0
Not stated irritant spray,Sussex,Other equipment,Irritant spray: not stated,Mental,48.0
Spit and bite guard,Sussex,Other equipment,Spit and bite guard,Mental,9.0
Shield,Sussex,Other equipment,Shield,Mental,7.0
*Total Less lethal weapons,Sussex,Less lethal weapons,Total: Less lethal weapons,Mental,79.0
CED,Sussex,Less lethal weapons,CED,Mental,78.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,Mental,1.0
AEP aimed,Sussex,Less lethal weapons,AEP: Aimed,Mental,1.0
AEP fired,Sussex,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Sussex,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,Mental,10.0
*Total Other,Sussex,Other,Total: Other,Mental,137.0
"Dog use, of which",Sussex,Other,Total: Dog,Mental,4.0
Dog deployed,Sussex,Other,Dog: deployed,Mental,2.0
Dog bite,Sussex,Other,Dog: bite,Mental,0.0
Not stated dog,Sussex,Other,Dog: not stated,Mental,2.0
Other / improvised,Sussex,Other,Other / improvised,Mental,133.0
*Total Not reported,Sussex,Not reported,Total: Not reported,Mental,23.0
Tactical communication,Sussex,Excluded: Tactical Communication,Tactical Communication,Mental,651.0
*Total Tactics,Thames Valley,Total,Total: all,Mental,2155.0
*Total Restraint,Thames Valley,Restraint,Total: Restraint,Mental,1281.0
"Handcuffing, of which",Thames Valley,Restraint,Total: Handcuffing,Mental,681.0
Compliant handcuffing,Thames Valley,Restraint,Handcuffing: compliant,Mental,156.0
Non-compliant handcuffing,Thames Valley,Restraint,Handcuffing: non-compliant,Mental,502.0
Not stated handcuffing,Thames Valley,Restraint,Handcuffing: not stated,Mental,23.0
Limb / Body restraints,Thames Valley,Restraint,Limb / body restraints,Mental,168.0
Ground restraint,Thames Valley,Restraint,Ground restraint,Mental,432.0
*Total Unarmed skills,Thames Valley,Unarmed skills,Total: unarmed skills,Mental,663.0
*Total Other equipment,Thames Valley,Other equipment,Total: Other equipment,Mental,114.0
"Baton, of which",Thames Valley,Other equipment,Total: Baton,Mental,29.0
Baton drawn,Thames Valley,Other equipment,Baton: drawn,Mental,5.0
Baton used,Thames Valley,Other equipment,Baton: used,Mental,13.0
Not stated baton,Thames Valley,Other equipment,Baton: not stated,Mental,11.0
"Irritant spray, of which",Thames Valley,Other equipment,Total: Irritant spray,Mental,64.0
Irritant spray - drawn,Thames Valley,Other equipment,Irritant spray: drawn,Mental,18.0
Irritant spray - used,Thames Valley,Other equipment,Irritant spray: used,Mental,46.0
Not stated irritant spray,Thames Valley,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Thames Valley,Other equipment,Spit and bite guard,Mental,17.0
Shield,Thames Valley,Other equipment,Shield,Mental,4.0
*Total Less lethal weapons,Thames Valley,Less lethal weapons,Total: Less lethal weapons,Mental,50.0
CED,Thames Valley,Less lethal weapons,CED,Mental,47.0
"AEP, of which",Thames Valley,Less lethal weapons,Total: AEP,Mental,3.0
AEP aimed,Thames Valley,Less lethal weapons,AEP: Aimed,Mental,2.0
AEP fired,Thames Valley,Less lethal weapons,AEP: Fired,Mental,1.0
Not stated AEP,Thames Valley,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Thames Valley,Firearms,Total: Firearms,Mental,4.0
*Total Other,Thames Valley,Other,Total: Other,Mental,43.0
"Dog use, of which",Thames Valley,Other,Total: Dog,Mental,1.0
Dog deployed,Thames Valley,Other,Dog: deployed,Mental,1.0
Dog bite,Thames Valley,Other,Dog: bite,Mental,0.0
Not stated dog,Thames Valley,Other,Dog: not stated,Mental,0.0
Other / improvised,Thames Valley,Other,Other / improvised,Mental,42.0
*Total Not reported,Thames Valley,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Thames Valley,Excluded: Tactical Communication,Tactical Communication,Mental,936.0
*Total Tactics,Warwickshire,Total,Total: all,Mental,344.0
*Total Restraint,Warwickshire,Restraint,Total: Restraint,Mental,199.0
"Handcuffing, of which",Warwickshire,Restraint,Total: Handcuffing,Mental,140.0
Compliant handcuffing,Warwickshire,Restraint,Handcuffing: compliant,Mental,53.0
Non-compliant handcuffing,Warwickshire,Restraint,Handcuffing: non-compliant,Mental,87.0
Not stated handcuffing,Warwickshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Warwickshire,Restraint,Limb / body restraints,Mental,10.0
Ground restraint,Warwickshire,Restraint,Ground restraint,Mental,49.0
*Total Unarmed skills,Warwickshire,Unarmed skills,Total: unarmed skills,Mental,73.0
*Total Other equipment,Warwickshire,Other equipment,Total: Other equipment,Mental,18.0
"Baton, of which",Warwickshire,Other equipment,Total: Baton,Mental,1.0
Baton drawn,Warwickshire,Other equipment,Baton: drawn,Mental,1.0
Baton used,Warwickshire,Other equipment,Baton: used,Mental,0.0
Not stated baton,Warwickshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Warwickshire,Other equipment,Total: Irritant spray,Mental,12.0
Irritant spray - drawn,Warwickshire,Other equipment,Irritant spray: drawn,Mental,7.0
Irritant spray - used,Warwickshire,Other equipment,Irritant spray: used,Mental,5.0
Not stated irritant spray,Warwickshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Warwickshire,Other equipment,Spit and bite guard,Mental,5.0
Shield,Warwickshire,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Warwickshire,Less lethal weapons,Total: Less lethal weapons,Mental,0.0
CED,Warwickshire,Less lethal weapons,CED,Mental,0.0
"AEP, of which",Warwickshire,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,Warwickshire,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,Warwickshire,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Warwickshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Warwickshire,Firearms,Total: Firearms,Mental,5.0
*Total Other,Warwickshire,Other,Total: Other,Mental,49.0
"Dog use, of which",Warwickshire,Other,Total: Dog,Mental,1.0
Dog deployed,Warwickshire,Other,Dog: deployed,Mental,1.0
Dog bite,Warwickshire,Other,Dog: bite,Mental,0.0
Not stated dog,Warwickshire,Other,Dog: not stated,Mental,0.0
Other / improvised,Warwickshire,Other,Other / improvised,Mental,48.0
*Total Not reported,Warwickshire,Not reported,Total: Not reported,Mental,16.0
Tactical communication,Warwickshire,Excluded: Tactical Communication,Tactical Communication,Mental,72.0
*Total Tactics,West Mercia,Total,Total: all,Mental,1673.0
*Total Restraint,West Mercia,Restraint,Total: Restraint,Mental,918.0
"Handcuffing, of which",West Mercia,Restraint,Total: Handcuffing,Mental,581.0
Compliant handcuffing,West Mercia,Restraint,Handcuffing: compliant,Mental,154.0
Non-compliant handcuffing,West Mercia,Restraint,Handcuffing: non-compliant,Mental,427.0
Not stated handcuffing,West Mercia,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,West Mercia,Restraint,Limb / body restraints,Mental,63.0
Ground restraint,West Mercia,Restraint,Ground restraint,Mental,274.0
*Total Unarmed skills,West Mercia,Unarmed skills,Total: unarmed skills,Mental,402.0
*Total Other equipment,West Mercia,Other equipment,Total: Other equipment,Mental,99.0
"Baton, of which",West Mercia,Other equipment,Total: Baton,Mental,9.0
Baton drawn,West Mercia,Other equipment,Baton: drawn,Mental,8.0
Baton used,West Mercia,Other equipment,Baton: used,Mental,1.0
Not stated baton,West Mercia,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",West Mercia,Other equipment,Total: Irritant spray,Mental,46.0
Irritant spray - drawn,West Mercia,Other equipment,Irritant spray: drawn,Mental,24.0
Irritant spray - used,West Mercia,Other equipment,Irritant spray: used,Mental,22.0
Not stated irritant spray,West Mercia,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,West Mercia,Other equipment,Spit and bite guard,Mental,37.0
Shield,West Mercia,Other equipment,Shield,Mental,7.0
*Total Less lethal weapons,West Mercia,Less lethal weapons,Total: Less lethal weapons,Mental,0.0
CED,West Mercia,Less lethal weapons,CED,Mental,0.0
"AEP, of which",West Mercia,Less lethal weapons,Total: AEP,Mental,0.0
AEP aimed,West Mercia,Less lethal weapons,AEP: Aimed,Mental,0.0
AEP fired,West Mercia,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,West Mercia,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,West Mercia,Firearms,Total: Firearms,Mental,11.0
*Total Other,West Mercia,Other,Total: Other,Mental,243.0
"Dog use, of which",West Mercia,Other,Total: Dog,Mental,12.0
Dog deployed,West Mercia,Other,Dog: deployed,Mental,12.0
Dog bite,West Mercia,Other,Dog: bite,Mental,0.0
Not stated dog,West Mercia,Other,Dog: not stated,Mental,0.0
Other / improvised,West Mercia,Other,Other / improvised,Mental,231.0
*Total Not reported,West Mercia,Not reported,Total: Not reported,Mental,29.0
Tactical communication,West Mercia,Excluded: Tactical Communication,Tactical Communication,Mental,366.0
*Total Tactics,West Midlands,Total,Total: all,Mental,897.0
*Total Restraint,West Midlands,Restraint,Total: Restraint,Mental,436.0
"Handcuffing, of which",West Midlands,Restraint,Total: Handcuffing,Mental,246.0
Compliant handcuffing,West Midlands,Restraint,Handcuffing: compliant,Mental,0.0
Non-compliant handcuffing,West Midlands,Restraint,Handcuffing: non-compliant,Mental,246.0
Not stated handcuffing,West Midlands,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,West Midlands,Restraint,Limb / body restraints,Mental,89.0
Ground restraint,West Midlands,Restraint,Ground restraint,Mental,101.0
*Total Unarmed skills,West Midlands,Unarmed skills,Total: unarmed skills,Mental,262.0
*Total Other equipment,West Midlands,Other equipment,Total: Other equipment,Mental,78.0
"Baton, of which",West Midlands,Other equipment,Total: Baton,Mental,7.0
Baton drawn,West Midlands,Other equipment,Baton: drawn,Mental,0.0
Baton used,West Midlands,Other equipment,Baton: used,Mental,7.0
Not stated baton,West Midlands,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",West Midlands,Other equipment,Total: Irritant spray,Mental,44.0
Irritant spray - drawn,West Midlands,Other equipment,Irritant spray: drawn,Mental,0.0
Irritant spray - used,West Midlands,Other equipment,Irritant spray: used,Mental,44.0
Not stated irritant spray,West Midlands,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,West Midlands,Other equipment,Spit and bite guard,Mental,26.0
Shield,West Midlands,Other equipment,Shield,Mental,1.0
*Total Less lethal weapons,West Midlands,Less lethal weapons,Total: Less lethal weapons,Mental,62.0
CED,West Midlands,Less lethal weapons,CED,Mental,60.0
"AEP, of which",West Midlands,Less lethal weapons,Total: AEP,Mental,2.0
AEP aimed,West Midlands,Less lethal weapons,AEP: Aimed,Mental,1.0
AEP fired,West Midlands,Less lethal weapons,AEP: Fired,Mental,1.0
Not stated AEP,West Midlands,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,West Midlands,Firearms,Total: Firearms,Mental,11.0
*Total Other,West Midlands,Other,Total: Other,Mental,48.0
"Dog use, of which",West Midlands,Other,Total: Dog,Mental,0.0
Dog deployed,West Midlands,Other,Dog: deployed,Mental,0.0
Dog bite,West Midlands,Other,Dog: bite,Mental,0.0
Not stated dog,West Midlands,Other,Dog: not stated,Mental,0.0
Other / improvised,West Midlands,Other,Other / improvised,Mental,48.0
*Total Not reported,West Midlands,Not reported,Total: Not reported,Mental,0.0
Tactical communication,West Midlands,Excluded: Tactical Communication,Tactical Communication,Mental,0.0
*Total Tactics,West Yorkshire,Total,Total: all,Mental,5498.0
*Total Restraint,West Yorkshire,Restraint,Total: Restraint,Mental,2948.0
"Handcuffing, of which",West Yorkshire,Restraint,Total: Handcuffing,Mental,2435.0
Compliant handcuffing,West Yorkshire,Restraint,Handcuffing: compliant,Mental,1052.0
Non-compliant handcuffing,West Yorkshire,Restraint,Handcuffing: non-compliant,Mental,1383.0
Not stated handcuffing,West Yorkshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,West Yorkshire,Restraint,Limb / body restraints,Mental,276.0
Ground restraint,West Yorkshire,Restraint,Ground restraint,Mental,237.0
*Total Unarmed skills,West Yorkshire,Unarmed skills,Total: unarmed skills,Mental,1721.0
*Total Other equipment,West Yorkshire,Other equipment,Total: Other equipment,Mental,431.0
"Baton, of which",West Yorkshire,Other equipment,Total: Baton,Mental,36.0
Baton drawn,West Yorkshire,Other equipment,Baton: drawn,Mental,21.0
Baton used,West Yorkshire,Other equipment,Baton: used,Mental,15.0
Not stated baton,West Yorkshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",West Yorkshire,Other equipment,Total: Irritant spray,Mental,291.0
Irritant spray - drawn,West Yorkshire,Other equipment,Irritant spray: drawn,Mental,108.0
Irritant spray - used,West Yorkshire,Other equipment,Irritant spray: used,Mental,183.0
Not stated irritant spray,West Yorkshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,West Yorkshire,Other equipment,Spit and bite guard,Mental,92.0
Shield,West Yorkshire,Other equipment,Shield,Mental,12.0
*Total Less lethal weapons,West Yorkshire,Less lethal weapons,Total: Less lethal weapons,Mental,274.0
CED,West Yorkshire,Less lethal weapons,CED,Mental,269.0
"AEP, of which",West Yorkshire,Less lethal weapons,Total: AEP,Mental,5.0
AEP aimed,West Yorkshire,Less lethal weapons,AEP: Aimed,Mental,5.0
AEP fired,West Yorkshire,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,West Yorkshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,West Yorkshire,Firearms,Total: Firearms,Mental,29.0
*Total Other,West Yorkshire,Other,Total: Other,Mental,95.0
"Dog use, of which",West Yorkshire,Other,Total: Dog,Mental,11.0
Dog deployed,West Yorkshire,Other,Dog: deployed,Mental,10.0
Dog bite,West Yorkshire,Other,Dog: bite,Mental,1.0
Not stated dog,West Yorkshire,Other,Dog: not stated,Mental,0.0
Other / improvised,West Yorkshire,Other,Other / improvised,Mental,84.0
*Total Not reported,West Yorkshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,West Yorkshire,Excluded: Tactical Communication,Tactical Communication,Mental,2622.0
*Total Tactics,Wiltshire,Total,Total: all,Mental,143.0
*Total Restraint,Wiltshire,Restraint,Total: Restraint,Mental,54.0
"Handcuffing, of which",Wiltshire,Restraint,Total: Handcuffing,Mental,36.0
Compliant handcuffing,Wiltshire,Restraint,Handcuffing: compliant,Mental,11.0
Non-compliant handcuffing,Wiltshire,Restraint,Handcuffing: non-compliant,Mental,25.0
Not stated handcuffing,Wiltshire,Restraint,Handcuffing: not stated,Mental,0.0
Limb / Body restraints,Wiltshire,Restraint,Limb / body restraints,Mental,2.0
Ground restraint,Wiltshire,Restraint,Ground restraint,Mental,16.0
*Total Unarmed skills,Wiltshire,Unarmed skills,Total: unarmed skills,Mental,51.0
*Total Other equipment,Wiltshire,Other equipment,Total: Other equipment,Mental,8.0
"Baton, of which",Wiltshire,Other equipment,Total: Baton,Mental,4.0
Baton drawn,Wiltshire,Other equipment,Baton: drawn,Mental,0.0
Baton used,Wiltshire,Other equipment,Baton: used,Mental,4.0
Not stated baton,Wiltshire,Other equipment,Baton: not stated,Mental,0.0
"Irritant spray, of which",Wiltshire,Other equipment,Total: Irritant spray,Mental,4.0
Irritant spray - drawn,Wiltshire,Other equipment,Irritant spray: drawn,Mental,0.0
Irritant spray - used,Wiltshire,Other equipment,Irritant spray: used,Mental,4.0
Not stated irritant spray,Wiltshire,Other equipment,Irritant spray: not stated,Mental,0.0
Spit and bite guard,Wiltshire,Other equipment,Spit and bite guard,Mental,0.0
Shield,Wiltshire,Other equipment,Shield,Mental,0.0
*Total Less lethal weapons,Wiltshire,Less lethal weapons,Total: Less lethal weapons,Mental,28.0
CED,Wiltshire,Less lethal weapons,CED,Mental,27.0
"AEP, of which",Wiltshire,Less lethal weapons,Total: AEP,Mental,1.0
AEP aimed,Wiltshire,Less lethal weapons,AEP: Aimed,Mental,1.0
AEP fired,Wiltshire,Less lethal weapons,AEP: Fired,Mental,0.0
Not stated AEP,Wiltshire,Less lethal weapons,AEP: Not stated,Mental,0.0
*Total Firearms,Wiltshire,Firearms,Total: Firearms,Mental,0.0
*Total Other,Wiltshire,Other,Total: Other,Mental,2.0
"Dog use, of which",Wiltshire,Other,Total: Dog,Mental,0.0
Dog deployed,Wiltshire,Other,Dog: deployed,Mental,0.0
Dog bite,Wiltshire,Other,Dog: bite,Mental,0.0
Not stated dog,Wiltshire,Other,Dog: not stated,Mental,0.0
Other / improvised,Wiltshire,Other,Other / improvised,Mental,2.0
*Total Not reported,Wiltshire,Not reported,Total: Not reported,Mental,0.0
Tactical communication,Wiltshire,Excluded: Tactical Communication,Tactical Communication,Mental,42.0
*Total Tactics,Total England and Wales,Total,Total: all,Physical,4247.0
*Total Restraint,Total England and Wales,Restraint,Total: Restraint,Physical,2680.0
"Handcuffing, of which",Total England and Wales,Restraint,Total: Handcuffing,Physical,2101.0
Compliant handcuffing,Total England and Wales,Restraint,Handcuffing: compliant,Physical,1209.0
Non-compliant handcuffing,Total England and Wales,Restraint,Handcuffing: non-compliant,Physical,865.0
Not stated handcuffing,Total England and Wales,Restraint,Handcuffing: not stated,Physical,27.0
Limb / Body restraints,Total England and Wales,Restraint,Limb / body restraints,Physical,177.0
Ground restraint,Total England and Wales,Restraint,Ground restraint,Physical,402.0
